HR,HRR
77.0,0.20847501961810094
77.0,0.20847501961810094
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
78.0,0.21736855872351554
52.0,-0.01386345801726396
52.0,-0.01386345801726396
53.0,-0.004969918911849363
56.0,0.021710698404394425
56.0,0.021710698404394425
60.0,0.05728485482605281
69.0,0.13732670677478417
68.0,0.12843316766936957
69.0,0.13732670677478417
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
68.0,0.12843316766936957
66.0,0.11064608945854039
63.0,0.0839654721422966
63.0,0.0839654721422966
62.0,0.075071933036882
60.0,0.05728485482605281
59.0,0.04839131572063821
58.0,0.03949777661522362
57.0,0.03060423750980902
56.0,0.021710698404394425
55.0,0.012817159298979829
56.0,0.021710698404394425
57.0,0.03060423750980902
62.0,0.075071933036882
62.0,0.075071933036882
60.0,0.05728485482605281
59.0,0.04839131572063821
59.0,0.04839131572063821
58.0,0.03949777661522362
58.0,0.03949777661522362
61.0,0.0661783939314674
60.0,0.05728485482605281
62.0,0.075071933036882
66.0,0.11064608945854039
67.0,0.11953962856395499
68.0,0.12843316766936957
69.0,0.13732670677478417
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
70.0,0.14622024588019877
54.0,0.003923620193565233
60.0,0.05728485482605281
64.0,0.09285901124771119
73.0,0.17290086319644257
71.0,0.15511378498561337
69.0,0.13732670677478417
68.0,0.12843316766936957
67.0,0.11953962856395499
70.0,0.14622024588019877
79.0,0.22626209782893014
78.0,0.21736855872351554
76.0,0.19958148051268634
72.0,0.16400732409102797
70.0,0.14622024588019877
70.0,0.14622024588019877
69.0,0.13732670677478417
73.0,0.17290086319644257
74.0,0.18179440230185714
73.0,0.17290086319644257
70.0,0.14622024588019877
69.0,0.13732670677478417
68.0,0.12843316766936957
69.0,0.13732670677478417
67.0,0.11953962856395499
67.0,0.11953962856395499
65.0,0.10175255035312579
62.0,0.075071933036882
62.0,0.075071933036882
62.0,0.075071933036882
63.0,0.0839654721422966
62.5,0.0795187025895893
62.0,0.075071933036882
61.0,0.0661783939314674
62.0,0.075071933036882
63.0,0.0839654721422966
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
66.0,0.11064608945854039
82.0,0.2529427151451739
82.5,0.2573894846978812
83.0,0.26183625425058854
84.0,0.2707297933560031
85.0,0.27962333246141774
86.0,0.2885168715668323
86.0,0.2885168715668323
86.0,0.2885168715668323
89.0,0.3151974888830761
88.0,0.3063039497776615
88.0,0.3063039497776615
88.0,0.3063039497776615
87.0,0.2974104106722469
87.0,0.2974104106722469
87.0,0.2974104106722469
88.0,0.3063039497776615
87.0,0.2974104106722469
87.0,0.2974104106722469
87.0,0.2974104106722469
88.0,0.3063039497776615
87.0,0.2974104106722469
85.0,0.27962333246141774
