O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
0.0115176,-0.3181612,-0.3066886,-0.3915211,-0.5543256,-0.9459466,-0.3153758,-0.5177378,-0.8330395,0.2792817,0.0872331,0.3672488,-0.5265816,-0.4057552,-0.9328012,-0.1889723,-0.2319025,-0.4207726,65.7795715,99.9477081,,
-0.0094201,-0.3118725,-0.3213376,-0.3906211,-0.5613757,-0.9520968,-0.3225008,-0.5197271,-0.8421538,0.2394514,0.1135331,0.3537187,-0.5172921,-0.4133801,-0.9311365,-0.1992345,-0.2352821,-0.4344144,65.8143539,99.9477539,,
-0.0112903,-0.3113412,-0.3226765,-0.3940928,-0.5622863,-0.956479,-0.3235984,-0.5218581,-0.8453824,0.2418684,0.1119911,0.3545937,-0.5183101,-0.4148983,-0.9336727,-0.2016159,-0.2354805,-0.4369943,65.8220978,99.9476166,,
-0.0109043,-0.3159003,-0.3268496,-0.3988142,-0.5626258,-0.9615401,-0.3294866,-0.521682,-0.8510946,0.2508891,0.1047738,0.3563971,-0.5354716,-0.407711,-0.943647,-0.2049322,-0.2367708,-0.4416007,65.8005829,99.94767,,
-0.0161291,-0.3166632,-0.3328372,-0.4029551,-0.5613258,-0.9643809,-0.3364595,-0.521892,-0.8582775,0.2545194,0.1034522,0.3587058,-0.5363257,-0.4064556,-0.9432457,-0.21259,-0.2353783,-0.4478661,65.7939987,99.9479675,,
-0.0237589,-0.3191893,-0.3429931,-0.4162632,-0.5582446,-0.9746076,-0.3490823,-0.5207663,-0.8697745,0.2496109,0.1006544,0.3509996,-0.5409058,-0.4057327,-0.9471028,-0.2229071,-0.2362229,-0.4590277,65.77285,99.9481354,,
-0.0290019,-0.323479,-0.3525257,-0.4273659,-0.5599915,-0.9874575,-0.3588791,-0.5232972,-0.8821023,0.2591654,0.0886617,0.3485613,-0.5516007,-0.4065378,-0.9586029,-0.2387601,-0.2375381,-0.476196,65.76017,99.9480743,,
-0.0507132,-0.3186694,-0.3694275,-0.4392053,-0.5606383,-0.9999436,-0.3758712,-0.5239398,-0.8997369,0.2210472,0.1025385,0.32432,-0.5622742,-0.4073745,-0.9701131,-0.2491601,-0.2419482,-0.491006,65.7710724,99.948288,,
-0.0694493,-0.3190768,-0.3885709,-0.4506514,-0.5647376,-1.015489,-0.3907279,-0.5252172,-0.9158711,0.1937325,0.1065878,0.3010547,-0.5775341,-0.4074788,-0.9854773,-0.2696176,-0.2426374,-0.5121528,65.7723923,99.948288,,
-0.080029,-0.3190553,-0.3991292,-0.464857,-0.5637969,-1.0287539,-0.402401,-0.5284387,-0.9307657,0.183437,0.1096809,0.2938523,-0.5883816,-0.4110641,-0.9999102,-0.2852775,-0.2454466,-0.5306219,65.7748108,99.9483719,,
-0.0730662,-0.3199718,-0.3930828,-0.4547928,-0.5652924,-1.0201852,-0.3847137,-0.5318187,-0.9164585,0.1858766,0.1101027,0.2967137,-0.5802303,-0.4140316,-0.9947264,-0.2674831,-0.2470038,-0.5143847,65.8050919,99.9482727,,
-0.0566127,-0.3135697,-0.3702272,-0.4268295,-0.5620458,-0.9889754,-0.3550624,-0.5271659,-0.8821543,0.2019545,0.1284972,0.3311861,-0.5365686,-0.4106054,-0.9476383,-0.2232849,-0.2418208,-0.4650034,65.83705140000001,99.9483261,,
-0.0452337,-0.3143211,-0.3595996,-0.4279288,-0.5591642,-0.9871929,-0.355325,-0.5255318,-0.8807829,0.2389792,0.1242092,0.3639226,-0.5316682,-0.40579,-0.9379226,-0.2209051,-0.24162,-0.4624228,65.8147888,99.9481659,,
-0.0453757,-0.3132324,-0.3586529,-0.4279574,-0.5610209,-0.9890784,-0.3591657,-0.526112,-0.8852037,0.2443955,0.1202725,0.3654023,-0.5302324,-0.404896,-0.9355928,-0.2234635,-0.2403178,-0.463679,65.8120041,99.9481201,,
-0.0447058,-0.3137729,-0.3585236,-0.4269082,-0.5612971,-0.9883054,-0.3629979,-0.5244663,-0.8873903,0.2450629,0.1233043,0.3691015,-0.5261568,-0.4063798,-0.9330009,-0.2254123,-0.2374534,-0.4627634,65.7982864,99.948204,,
-0.0462776,-0.3180772,-0.3643997,-0.4354749,-0.5619984,-0.9975732,-0.3703759,-0.5260459,-0.8963477,0.2656089,0.1092573,0.3756003,-0.5356665,-0.4029177,-0.9390486,-0.2307998,-0.239398,-0.4700955,65.7822571,99.9481659,,
-0.0476252,-0.317881,-0.365551,-0.4442345,-0.5614922,-1.0058267,-0.3799847,-0.5273396,-0.9072503,0.2626161,0.1136394,0.3769896,-0.5424593,-0.4004448,-0.9433684,-0.238384,-0.2405492,-0.478831,65.7707291,99.9480972,,
-0.0587523,-0.3153014,-0.3740986,-0.4511344,-0.5595967,-1.0108311,-0.3905689,-0.5261982,-0.916693,0.2510061,0.1125978,0.3643382,-0.5490571,-0.4027652,-0.9522866,-0.2463116,-0.2412109,-0.4874203,65.7689667,99.9483566,,
-0.0717345,-0.3152905,-0.3870698,-0.4613352,-0.5607444,-1.0221796,-0.4014246,-0.528876,-0.9302268,0.2413054,0.1148123,0.3568519,-0.5555087,-0.402296,-0.958269,-0.2620116,-0.241503,-0.5034124,65.7745819,99.9484787,,
-0.0896674,-0.313781,-0.4034932,-0.4765379,-0.5630552,-1.0396931,-0.4163903,-0.5309568,-0.9472733,0.2200898,0.119916,0.3407401,-0.5699209,-0.4036462,-0.9740316,-0.2783353,-0.2433594,-0.5215924,65.7810211,99.9483643,,
-0.1014374,-0.3172963,-0.4187785,-0.4917409,-0.5647454,-1.0565863,-0.4324567,-0.5321557,-0.9645385,0.2084287,0.1130269,0.3221899,-0.5848334,-0.4057636,-0.9910614,-0.2947734,-0.2462387,-0.5409099,65.76371,99.9483414,,
-0.1190765,-0.3179583,-0.4370796,-0.4935276,-0.5731748,-1.0668024,-0.4392973,-0.5372224,-0.9764459,0.1878958,0.1231217,0.3117519,-0.5859911,-0.4175821,-1.0040377,-0.3053011,-0.2516598,-0.5568587,65.7883377,99.9484406,,
-0.0931468,-0.3210478,-0.4142393,-0.474028,-0.5724325,-1.0465605,-0.4094736,-0.5376521,-0.9470518,0.2309224,0.1120426,0.3436993,-0.5614744,-0.4175635,-0.9795024,-0.2648748,-0.2508338,-0.5156065,65.8017426,99.9481354,,
-0.071991,-0.3263955,-0.3984312,-0.4675454,-0.5693271,-1.0369725,-0.40137,-0.5356595,-0.9369557,0.274555,0.0961583,0.3714475,-0.5440312,-0.4116546,-0.9561502,-0.2453971,-0.2487158,-0.4940107,65.7704315,99.9480972,,
-0.072953,-0.328105,-0.4011028,-0.4726766,-0.5677682,-1.0405447,-0.4049142,-0.5366565,-0.9414968,0.2818156,0.0935151,0.3760648,-0.5468257,-0.412054,-0.959344,-0.2506163,-0.2496484,-0.5001625,65.7644577,99.948204,,
-0.0729382,-0.3263449,-0.3993279,-0.4678412,-0.5698417,-1.0377829,-0.4029522,-0.5350753,-0.9379536,0.2782437,0.0987452,0.377723,-0.5408097,-0.411883,-0.9531571,-0.2522402,-0.2472614,-0.4993994,65.7673035,99.9480743,,
