HR,HRR
71.0,0.024422750141605252
71.0,0.024422750141605252
70.0,0.016426215306700378
69.0,0.008429680471795502
70.0,0.016426215306700378
69.0,0.008429680471795502
73.0,0.040415819811415
73.0,0.040415819811415
71.0,0.024422750141605252
71.0,0.024422750141605252
71.0,0.024422750141605252
71.0,0.024422750141605252
72.0,0.03241928497651013
73.0,0.040415819811415
74.0,0.04841235464631988
73.0,0.040415819811415
71.0,0.024422750141605252
69.0,0.008429680471795502
70.0,0.016426215306700378
70.0,0.016426215306700378
69.0,0.008429680471795502
68.0,0.0004331456368906277
67.0,-0.007563389198014248
66.0,-0.015559924032919122
66.0,-0.015559924032919122
67.0,-0.007563389198014248
66.0,-0.015559924032919122
70.0,0.016426215306700378
69.0,0.008429680471795502
68.0,0.0004331456368906277
67.0,-0.007563389198014248
65.0,-0.023556458867823996
66.0,-0.015559924032919122
69.0,0.008429680471795502
73.0,0.040415819811415
70.0,0.016426215306700378
70.0,0.016426215306700378
68.0,0.0004331456368906277
66.0,-0.015559924032919122
65.0,-0.023556458867823996
65.0,-0.023556458867823996
65.0,-0.023556458867823996
63.0,-0.03954952853763375
64.0,-0.03155299370272887
65.0,-0.023556458867823996
64.0,-0.03155299370272887
63.0,-0.03954952853763375
63.0,-0.03954952853763375
64.0,-0.03155299370272887
64.0,-0.03155299370272887
63.0,-0.03954952853763375
63.0,-0.03954952853763375
65.0,-0.023556458867823996
65.0,-0.023556458867823996
64.0,-0.03155299370272887
66.0,-0.015559924032919122
66.0,-0.015559924032919122
67.0,-0.007563389198014248
66.0,-0.015559924032919122
65.0,-0.023556458867823996
64.0,-0.03155299370272887
65.0,-0.023556458867823996
66.0,-0.015559924032919122
65.0,-0.023556458867823996
64.0,-0.03155299370272887
63.0,-0.03954952853763375
65.0,-0.023556458867823996
65.0,-0.023556458867823996
70.0,0.016426215306700378
70.0,0.016426215306700378
69.0,0.008429680471795502
67.0,-0.007563389198014248
66.0,-0.015559924032919122
66.0,-0.015559924032919122
65.0,-0.023556458867823996
65.0,-0.023556458867823996
64.0,-0.03155299370272887
65.0,-0.023556458867823996
66.0,-0.015559924032919122
65.0,-0.023556458867823996
65.0,-0.023556458867823996
64.0,-0.03155299370272887
63.0,-0.03954952853763375
63.0,-0.03954952853763375
64.0,-0.03155299370272887
66.0,-0.015559924032919122
65.0,-0.023556458867823996
65.0,-0.023556458867823996
65.0,-0.023556458867823996
65.0,-0.023556458867823996
66.0,-0.015559924032919122
66.0,-0.015559924032919122
65.0,-0.023556458867823996
65.0,-0.023556458867823996
65.0,-0.023556458867823996
66.0,-0.015559924032919122
65.0,-0.023556458867823996
68.0,0.0004331456368906277
71.0,0.024422750141605252
73.0,0.040415819811415
73.0,0.040415819811415
72.0,0.03241928497651013
73.0,0.040415819811415
73.0,0.040415819811415
72.0,0.03241928497651013
75.0,0.05640888948122475
74.0,0.04841235464631988
73.0,0.040415819811415
72.0,0.03241928497651013
71.0,0.024422750141605252
70.0,0.016426215306700378
71.0,0.024422750141605252
71.5,0.02842101755905769
72.0,0.03241928497651013
71.0,0.024422750141605252
72.0,0.03241928497651013
74.0,0.04841235464631988
75.0,0.05640888948122475
74.0,0.04841235464631988
75.0,0.05640888948122475
74.0,0.04841235464631988
73.0,0.040415819811415
73.0,0.040415819811415
74.0,0.04841235464631988
74.0,0.04841235464631988
75.0,0.05640888948122475
78.0,0.08039849398593937
79.0,0.08839502882084425
81.0,0.104388098490654
83.0,0.12038116816046375
84.0,0.12837770299536863
86.0,0.14437077266517837
89.0,0.168360377169893
93.0,0.2003465165095125
97.0,0.232332655849132
100.0,0.25632226035384664
101.0,0.2643187951887515
103.0,0.28031186485856124
105.0,0.296304934528371
107.0,0.31229800419818077
109.0,0.3282910738679905
110.0,0.33628760870289537
112.0,0.3522806783727051
113.0,0.36027721320761
112.0,0.3522806783727051
110.0,0.33628760870289537
109.0,0.3282910738679905
109.0,0.3282910738679905
110.0,0.33628760870289537
111.0,0.34428414353780024
112.0,0.3522806783727051
113.0,0.36027721320761
114.0,0.3682737480425149
114.0,0.3682737480425149
116.0,0.3842668177123246
116.0,0.3842668177123246
116.0,0.3842668177123246
116.0,0.3842668177123246
115.0,0.37627028287741976
115.0,0.37627028287741976
116.0,0.3842668177123246
116.0,0.3842668177123246
115.0,0.37627028287741976
114.0,0.3682737480425149
113.0,0.36027721320761
114.0,0.3682737480425149
115.0,0.37627028287741976
112.5,0.35627894579015756
110.0,0.33628760870289537
107.0,0.31229800419818077
109.0,0.3282910738679905
103.0,0.28031186485856124
105.0,0.296304934528371
105.0,0.296304934528371
107.0,0.31229800419818077
108.0,0.32029453903308563
107.0,0.31229800419818077
108.0,0.32029453903308563
109.0,0.3282910738679905
111.0,0.34428414353780024
112.0,0.3522806783727051
114.0,0.3682737480425149
115.0,0.37627028287741976
116.0,0.3842668177123246
117.0,0.3922633525472295
118.0,0.40025988738213436
118.5,0.4042581547995868
119.0,0.4082564222170392
120.0,0.41625295705194415
120.0,0.41625295705194415
121.0,0.424249491886849
122.0,0.4322460267217539
123.0,0.44024256155665875
124.0,0.4482390963915636
123.0,0.44024256155665875
124.0,0.4482390963915636
124.0,0.4482390963915636
124.0,0.4482390963915636
125.0,0.4562356312264685
125.0,0.4562356312264685
125.0,0.4562356312264685
125.0,0.4562356312264685
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
127.0,0.4722287008962783
128.0,0.48022523573118314
130.0,0.4962183054009929
129.0,0.488221770566088
129.0,0.488221770566088
127.5,0.4762269683137307
126.0,0.46423216606137335
124.0,0.4482390963915636
125.0,0.4562356312264685
124.0,0.4482390963915636
126.0,0.46423216606137335
126.0,0.46423216606137335
127.0,0.4722287008962783
127.0,0.4722287008962783
128.0,0.48022523573118314
128.0,0.48022523573118314
129.0,0.488221770566088
130.0,0.4962183054009929
131.0,0.5042148402358978
130.0,0.4962183054009929
129.0,0.488221770566088
129.0,0.488221770566088
129.0,0.488221770566088
128.0,0.48022523573118314
129.0,0.488221770566088
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
129.0,0.488221770566088
129.0,0.488221770566088
129.0,0.488221770566088
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
128.0,0.48022523573118314
127.0,0.4722287008962783
127.0,0.4722287008962783
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
127.0,0.4722287008962783
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
127.0,0.4722287008962783
127.0,0.4722287008962783
128.0,0.48022523573118314
127.0,0.4722287008962783
126.0,0.46423216606137335
127.0,0.4722287008962783
125.5,0.46023389864392095
124.0,0.4482390963915636
124.0,0.4482390963915636
124.0,0.4482390963915636
125.0,0.4562356312264685
125.0,0.4562356312264685
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
126.0,0.46423216606137335
127.0,0.4722287008962783
125.0,0.4562356312264685
125.0,0.4562356312264685
124.0,0.4482390963915636
124.0,0.4482390963915636
124.5,0.4522373638090161
125.0,0.4562356312264685
126.0,0.46423216606137335
