t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e
2.0,22.3,0.691,15.413,654,352.468785,380.7434081,1.08,124.9,21.0,39.3,36.4,5.5,1.6,18.08,3.04,17.27,3.94,20.87,0.07,130,22,124,28,0,,0,NONE,20.4,48,653,765,2583,107.6,1.79,0,40.3,0,0,2583,0,0.0,100.0,1.08,0,1.68,1.01,2.69,0.62,0.19,1.188,0,0,0,,13,91.2,0,0.41,30.96
6.0,13.57,1.13,15.339,1082,327.6217444,362.6577285,1.11,206.4,32.9,43.9,39.7,5.11,1.5,18.27,2.91,17.41,3.81,20.89,0.07,131,21,125,27,0,,0,NONE,20.4,48,653,765,2414,100.6,1.68,0,37.7,0,0,2414,0,0.0,100.0,1.11,0,3.35,1.07,4.42,0.76,0.24,1.186,4,0,0,,12,91.3,0,0.34,30.12
10.0,15.79,0.974,15.379,1084,349.7572729,390.4214093,1.12,176.1,30.4,40.8,36.6,5.46,1.6,18.08,3.12,17.35,3.97,20.88,0.07,130,22,125,29,0,,0,NONE,20.4,48,653,765,2583,107.6,1.79,0,40.3,0,0,2583,0,0.0,100.0,1.12,0,2.13,1.67,3.8,0.56,0.21,1.187,4,0,0,,13,91.3,0,0.46,31.15
13.0,21.28,1.031,21.936,463,515.426416,562.5113931,1.09,185.6,32.6,39.7,36.3,8.04,2.3,18.0,3.16,17.29,4.0,20.88,0.08,129,23,124,29,0,,0,NONE,20.4,48,653,765,3786,157.7,2.63,0,59.1,0,0,3786,0,0.0,100.0,1.09,0,1.39,1.43,2.82,0.49,0.21,1.341,3,0,0,,19,87.5,0,0.74,31.35
15.0,21.51,1.013,21.785,466,511.2025752,549.1480976,1.07,182.5,31.4,39.7,36.9,7.98,2.3,18.02,3.1,17.28,3.89,20.88,0.07,129,22,124,28,0,,0,NONE,20.4,48,653,765,3741,155.9,2.6,0,58.4,0,0,3741,0,0.0,100.0,1.07,0,1.51,1.28,2.79,0.54,0.2,1.338,2,0,0,,18,87.6,0,0.67,30.64
18.0,21.35,1.176,25.11,636,591.5278969,621.3716155,1.05,211.9,35.8,39.9,38.0,9.23,2.6,18.02,3.04,17.04,4.05,20.88,0.07,129,22,122,29,0,,0,NONE,20.4,48,653,765,4306,179.4,2.99,1,67.2,0,0,4306,0,0.0,100.0,1.05,0,1.54,1.27,2.81,0.55,0.25,1.4,3,0,0,,21,85.7,0,0.76,31.67
21.0,21.82,1.287,28.08,1025,669.6911112,733.3789714,1.1,231.1,41.3,39.6,36.2,10.45,3.0,17.96,3.21,17.09,4.17,20.88,0.07,129,23,123,30,0,,0,NONE,20.4,48,653,765,4923,205.1,3.42,1,76.8,0,0,4923,0,0.0,100.0,1.1,0,1.42,1.33,2.75,0.52,0.24,1.448,3,0,0,,24,84.0,0,0.91,32.44
24.0,19.61,1.219,23.902,1093,495.8844763,568.515259,1.15,223.2,35.7,45.4,39.6,7.74,2.2,18.31,2.93,17.7,3.64,20.88,0.07,131,21,127,26,0,,0,NONE,20.4,48,653,765,3685,153.6,2.56,1,57.5,0,0,3685,0,0.0,100.0,1.15,0,1.7,1.36,3.06,0.56,0.22,1.378,3,0,0,,18,86.4,0,0.72,29.02
27.0,21.13,1.247,26.345,767,610.8780471,718.1804218,1.18,223.6,42.1,40.7,34.6,9.53,2.7,17.93,3.38,17.31,4.02,20.82,0.1,129,24,124,29,0,,0,NONE,20.4,48,653,765,4568,190.3,3.17,1,71.3,0,0,4568,0,0.0,100.0,1.18,0,1.45,1.39,2.84,0.51,0.17,1.421,3,0,0,,22,85.0,0,0.86,31.47
30.0,21.58,0.983,21.216,1151,431.6006605,510.2292928,1.18,180.3,29.1,45.7,38.6,6.73,1.9,18.34,2.96,17.65,3.78,20.88,0.07,132,21,127,27,0,,0,NONE,20.4,48,653,765,3232,134.7,2.24,1,50.4,0,0,3232,0,0.0,100.0,1.18,0,1.55,1.23,2.78,0.56,0.22,1.327,3,0,0,,16,87.9,0,0.63,29.92
32.0,21.35,1.136,24.256,707,486.3901392,589.9442472,1.21,208.6,34.0,46.8,38.6,7.59,2.2,18.36,2.99,17.7,3.78,20.88,0.07,132,21,127,27,0,,0,NONE,20.4,48,653,765,3666,152.8,2.55,1,57.2,0,0,3666,0,0.0,100.0,1.21,0,1.48,1.33,2.81,0.53,0.22,1.385,2,0,0,,18,86.2,0,0.77,29.92
35.0,23.17,1.01,23.398,706,418.4182207,508.7518854,1.22,188.2,27.1,52.0,42.8,6.53,1.9,18.63,2.68,18.06,3.45,20.88,0.07,134,19,130,25,0,,0,NONE,20.4,48,653,765,3156,131.5,2.19,1,49.2,0,0,3156,0,0.0,100.0,1.22,0,1.39,1.2,2.59,0.54,0.24,1.369,3,0,0,,15,86.7,0,0.73,27.79
38.0,20.07,1.236,24.803,756,454.5386355,546.5787645,1.2,229.7,33.6,51.5,42.8,7.09,2.0,18.58,2.72,17.88,3.61,20.88,0.07,133,20,128,26,0,,0,NONE,20.4,48,653,765,3418,142.4,2.37,1,53.3,0,0,3418,0,0.0,100.0,1.2,0,1.54,1.45,2.99,0.52,0.27,1.394,3,0,0,,16,85.9,0,0.8,28.83
41.0,20.83,1.165,24.271,768,487.087951,590.8549642,1.21,213.9,34.9,46.8,38.6,7.6,2.2,18.36,3.0,17.8,3.65,20.88,0.07,132,22,128,26,0,,0,NONE,20.4,48,653,765,3671,153.0,2.55,2,57.3,0,0,3671,0,0.0,100.0,1.21,0,1.5,1.38,2.88,0.52,0.2,1.385,3,0,0,,18,86.2,0,0.78,29.08
43.0,21.58,1.15,24.82,784,498.5475518,597.9265106,1.2,211.2,34.1,46.8,39.0,7.78,2.2,18.37,2.97,17.76,3.7,20.88,0.07,132,21,128,27,0,,0,NONE,20.4,48,653,765,3747,156.1,2.6,2,58.5,0,0,3747,0,0.0,100.0,1.2,0,1.47,1.31,2.78,0.53,0.22,1.395,2,0,0,,18,85.9,0,0.78,29.41
46.0,20.69,1.111,22.986,801,478.9297929,580.5444262,1.21,202.7,34.5,45.0,37.1,7.47,2.1,18.24,3.11,17.43,4.02,20.86,0.07,131,22,125,29,0,,0,NONE,20.4,48,653,765,3609,150.4,2.51,2,56.3,0,0,3609,0,0.0,100.0,1.21,0,1.51,1.39,2.9,0.52,0.23,1.361,3,0,0,,17,86.9,0,0.74,31.47
49.0,21.35,1.067,22.783,877,445.0026555,554.8452196,1.25,195.6,32.4,47.8,38.4,6.94,2.0,18.33,3.04,17.59,3.9,20.8,0.11,132,22,126,28,0,,0,NONE,20.4,48,653,765,3378,140.8,2.35,2,52.7,0,0,3378,0,0.0,100.0,1.25,0,1.55,1.26,2.81,0.55,0.22,1.358,3,0,0,,16,87.1,0,0.69,30.7
52.0,22.47,1.026,23.056,828,465.6204728,582.9505874,1.25,187.3,32.2,46.1,36.9,7.26,2.1,18.26,3.14,17.6,3.93,20.81,0.1,131,23,126,28,0,,0,NONE,20.4,48,653,765,3538,147.4,2.46,2,55.2,0,0,3538,0,0.0,100.0,1.25,0,1.42,1.25,2.67,0.53,0.2,1.363,3,0,0,,17,86.9,0,0.72,30.89
55.0,22.47,1.026,23.056,723,435.1024853,538.1038487,1.24,189.5,29.7,49.4,39.9,6.79,1.9,18.47,2.89,17.81,3.66,20.85,0.09,133,21,128,26,0,,0,NONE,20.4,48,653,765,3296,137.3,2.29,2,51.4,0,0,3296,0,0.0,100.0,1.24,0,1.44,1.23,2.67,0.54,0.22,1.363,3,0,0,,16,86.9,0,0.71,29.15
58.0,19.61,1.194,23.412,682,464.9335859,575.3525104,1.24,218.8,36.1,47.4,38.3,7.25,2.1,18.32,3.02,17.66,3.81,20.83,0.07,132,22,127,27,0,,0,NONE,20.4,48,653,765,3522,146.8,2.45,2,55.0,0,0,3522,0,0.0,100.0,1.24,0,1.6,1.46,3.06,0.52,0.22,1.369,3,0,0,,17,86.7,0,0.75,30.12
61.0,20.69,1.012,20.938,773,438.4155615,531.8015572,1.21,184.2,31.7,44.5,36.6,6.84,2.0,18.2,3.13,17.45,3.99,20.83,0.08,131,22,125,29,0,,0,NONE,20.4,48,653,765,3305,137.7,2.29,2,51.6,0,0,3305,0,0.0,100.0,1.21,0,1.68,1.22,2.9,0.58,0.21,1.321,3,0,0,,16,88.1,0,0.6,31.28
64.0,18.29,1.239,22.665,866,461.1678612,556.5211774,1.21,226.6,37.8,46.4,38.4,7.19,2.1,18.29,3.05,17.7,3.77,20.84,0.1,131,22,127,27,0,,0,NONE,20.4,48,653,765,3471,144.6,2.41,2,54.2,0,0,3471,0,0.0,100.0,1.21,0,1.68,1.6,3.28,0.51,0.21,1.355,3,0,0,,17,87.1,0,0.74,29.86
67.0,19.74,1.154,22.776,862,492.9092878,595.7697276,1.21,209.4,37.2,43.4,35.9,7.69,2.2,18.15,3.22,17.44,4.05,20.86,0.08,130,23,125,29,0,,0,NONE,20.4,48,653,765,3712,154.7,2.58,3,57.9,0,0,3712,0,0.0,100.0,1.21,0,1.6,1.44,3.04,0.53,0.21,1.357,3,0,0,,18,87.1,0,0.72,31.67
70.0,22.39,1.079,24.157,783,504.7452264,617.1723845,1.22,196.4,34.1,44.8,36.6,7.87,2.2,18.2,3.16,17.43,4.05,20.83,0.09,131,23,125,29,0,,0,NONE,20.4,48,653,765,3812,158.8,2.65,3,59.5,0,0,3812,0,0.0,100.0,1.22,0,1.47,1.21,2.68,0.55,0.22,1.383,3,0,0,,18,86.3,0,0.73,31.67
72.0,21.05,1.053,22.168,908,414.8486737,512.3682244,1.24,194.6,30.3,49.9,40.4,6.47,1.8,18.48,2.88,17.85,3.63,20.84,0.1,133,21,128,26,0,,0,NONE,20.4,48,653,765,3141,130.9,2.18,3,49.0,0,0,3141,0,0.0,100.0,1.24,0,1.57,1.28,2.85,0.55,0.22,1.346,2,0,0,,15,87.4,0,0.67,28.95
75.0,24.69,0.742,18.321,804,307.6370576,382.2847585,1.24,138.9,19.2,53.9,43.4,4.8,1.4,18.72,2.59,18.0,3.44,20.84,0.08,134,19,129,25,0,,0,NONE,20.4,48,653,765,2333,97.2,1.62,3,36.4,0,0,2333,0,0.0,100.0,1.24,0,1.61,0.82,2.43,0.66,0.24,1.263,3,0,0,,11,89.6,0,0.46,27.73
79.0,13.64,1.453,19.814,1060,453.342434,558.0608566,1.23,261.5,50.2,41.6,33.8,7.07,2.0,18.0,3.45,17.54,3.98,20.88,0.07,129,25,126,29,0,,0,NONE,20.4,48,653,765,3430,142.9,2.38,3,53.5,0,0,3430,0,0.0,100.0,1.23,0,2.06,2.34,4.4,0.47,0.16,1.297,4,0,0,,16,88.7,0,0.71,31.22
82.0,20.2,1.178,23.798,1090,488.065996,605.5621213,1.24,215.0,37.2,45.9,37.0,7.61,2.2,18.25,3.16,17.51,3.99,20.84,0.1,131,23,126,29,0,,0,NONE,20.4,48,653,765,3700,154.2,2.57,3,57.7,0,0,3700,0,0.0,100.0,1.24,0,1.57,1.4,2.97,0.53,0.22,1.377,3,0,0,,18,86.5,0,0.75,31.28
85.0,19.74,0.822,16.224,730,305.2513165,366.6266693,1.2,152.1,22.9,48.6,40.5,4.76,1.4,18.5,2.79,17.61,3.81,20.86,0.07,133,20,126,27,0,,0,NONE,20.4,48,653,765,2295,95.6,1.59,3,35.8,0,0,2295,0,0.0,100.0,1.2,0,1.7,1.34,3.04,0.56,0.25,1.21,3,0,0,,11,90.8,0,0.48,30.12
88.0,18.24,1.027,18.729,707,410.6804501,488.3333526,1.19,186.2,32.9,42.5,35.7,6.41,1.8,18.13,3.2,17.31,4.15,20.87,0.07,130,23,124,30,0,,0,NONE,20.4,48,653,765,3080,128.3,2.14,3,48.0,0,0,3080,0,0.0,100.0,1.19,0,1.95,1.34,3.29,0.59,0.22,1.273,3,0,0,,15,89.4,0,0.53,32.32
91.0,20.34,1.219,24.793,711,586.1384448,680.7430556,1.16,218.6,41.2,39.9,34.3,9.14,2.6,17.93,3.38,17.3,4.09,20.87,0.08,129,24,124,29,0,,0,NONE,20.4,48,653,765,4370,182.1,3.03,3,68.2,0,0,4370,0,0.0,100.0,1.16,0,1.57,1.38,2.95,0.53,0.18,1.394,3,0,0,,21,85.9,0,0.78,31.93
94.0,19.87,1.204,23.921,708,533.614079,610.6033601,1.14,217.9,37.9,42.2,36.9,8.32,2.4,18.1,3.15,17.51,3.76,20.86,0.08,130,23,126,27,0,,0,NONE,20.4,48,653,765,3964,165.2,2.75,4,61.8,0,0,3964,0,0.0,100.0,1.14,0,1.49,1.53,3.02,0.49,0.18,1.379,3,0,0,,19,86.4,0,0.81,29.79
97.0,20.27,1.233,24.993,1015,518.5849974,599.3656638,1.16,225.7,36.4,45.5,39.3,8.09,2.3,18.3,2.95,17.65,3.7,20.88,0.07,131,21,127,27,0,,0,NONE,20.4,48,653,765,3862,160.9,2.68,4,60.2,0,0,3862,0,0.0,100.0,1.16,0,1.6,1.36,2.96,0.54,0.22,1.398,3,0,0,,19,85.8,0,0.77,29.41
100.0,19.67,1.11,21.836,867,431.907206,507.7997073,1.18,204.3,31.8,47.4,40.3,6.74,1.9,18.41,2.86,17.77,3.56,20.87,0.07,132,21,128,26,0,,0,NONE,20.4,48,653,765,3230,134.6,2.24,4,50.4,0,0,3230,0,0.0,100.0,1.18,0,1.7,1.35,3.05,0.56,0.22,1.339,3,0,0,,16,87.6,0,0.65,28.5
103.0,20.69,1.026,21.228,926,360.9085375,431.7910801,1.2,192.3,25.8,54.8,45.8,5.63,1.6,18.74,2.51,18.0,3.43,20.87,0.07,135,18,129,25,0,,0,NONE,20.4,48,653,765,2711,113.0,1.88,4,42.3,0,0,2711,0,0.0,100.0,1.2,0,1.66,1.24,2.9,0.57,0.28,1.327,3,0,0,,13,87.9,0,0.62,27.66
107.0,18.87,1.376,25.962,907,542.7489083,650.5377736,1.2,251.3,42.4,45.4,37.9,8.47,2.4,18.26,3.08,17.54,3.9,20.88,0.07,131,22,126,28,0,,0,NONE,20.4,48,653,765,4079,169.9,2.83,4,63.6,0,0,4079,0,0.0,100.0,1.2,0,1.52,1.66,3.18,0.48,0.23,1.414,4,0,0,,20,85.2,0,0.91,30.7
109.0,21.82,1.248,27.229,720,573.8905832,688.5295793,1.2,227.4,38.8,44.8,37.3,8.95,2.6,18.22,3.11,17.57,3.87,20.86,0.07,131,22,126,28,0,,0,NONE,20.4,48,653,765,4314,179.7,3.0,4,67.3,0,0,4314,0,0.0,100.0,1.2,0,1.36,1.39,2.75,0.49,0.21,1.435,2,0,0,,21,84.5,0,0.92,30.51
112.0,21.13,1.207,25.5,903,500.0752795,598.6554475,1.2,222.4,34.9,48.0,40.1,7.8,2.2,18.43,2.89,17.66,3.81,20.88,0.07,132,21,127,27,0,,0,NONE,20.4,48,653,765,3757,156.5,2.61,4,58.6,0,0,3757,0,0.0,100.0,1.2,0,1.42,1.42,2.84,0.5,0.25,1.407,3,0,0,,18,85.5,0,0.85,30.12
115.0,21.82,1.107,24.153,723,528.7625652,615.8777318,1.16,200.9,34.7,42.8,36.7,8.25,2.4,18.15,3.13,17.52,3.87,20.87,0.07,130,23,126,28,0,,0,NONE,20.4,48,653,765,3945,164.4,2.74,5,61.5,0,0,3945,0,0.0,100.0,1.16,0,1.51,1.24,2.75,0.55,0.2,1.383,3,0,0,,19,86.3,0,0.73,30.51
118.0,19.17,1.029,19.725,882,407.9149689,474.9872661,1.16,188.4,30.5,45.1,38.7,6.36,1.8,18.31,2.96,17.53,3.82,20.88,0.07,131,21,126,27,0,,0,NONE,20.4,48,653,765,3043,126.8,2.11,5,47.5,0,0,3043,0,0.0,100.0,1.16,0,1.74,1.39,3.13,0.56,0.23,1.295,3,0,0,,15,88.8,0,0.59,30.18
121.0,24.1,0.774,18.651,783,348.2881706,402.1577012,1.15,143.6,20.6,48.7,42.2,5.43,1.6,18.55,2.66,17.76,3.59,20.87,0.07,133,19,128,26,105,1.64,6,REST,20.4,48,653,765,2593,108.0,1.8,5,40.5,0,0,2593,0,0.0,100.0,1.15,0,1.46,1.03,2.49,0.59,0.24,1.271,3,0,0,,13,89.4,0,0.53,28.7
