O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
6.3641539,-0.7960796,5.5680757,6.1819468,-0.7916569,5.3897905,5.855937,-0.7316817,5.1241641,13.0971127,-0.9419497,12.1550922,10.0033016,-1.0254076,8.9777241,7.8719149,-1.0744882,6.7975121,73.6420059,99.855423,,
6.2092166,-0.7944329,5.4147854,6.0243068,-0.795179,5.2286272,5.7006884,-0.7335521,4.9670453,12.9433136,-0.9560186,11.9872246,9.8195848,-1.0448968,8.774518,7.6997895,-1.0930834,6.6067915,73.589035,99.8544312,,
6.0477905,-0.8067135,5.2410784,5.858304,-0.8034798,5.0543242,5.549521,-0.7429594,4.806469,12.7718754,-0.9694144,11.8023911,9.6484118,-1.0611663,8.5870733,7.5517883,-1.1094619,6.4424119,73.541275,99.8536072,,
5.8791761,-0.8227331,5.0564451,5.6909389,-0.8153731,4.8750658,5.4005909,-0.7520853,4.6484127,12.6123257,-0.9742282,11.6380291,9.4890213,-1.0732086,8.4156408,7.4084902,-1.1159827,6.2925935,73.4962921,99.8525009,,
5.7267256,-0.8328211,4.8939066,5.5505557,-0.8249663,4.72509,5.2563028,-0.7575436,4.4986668,12.4941511,-0.9882418,11.5058403,9.3519678,-1.0849109,8.2668848,7.2796936,-1.1272094,6.1525702,73.4416046,99.8528442,,
5.5823655,-0.8352538,4.7471147,5.4130073,-0.8297598,4.5827479,5.1220884,-0.7600259,4.361969,12.3613873,-0.9806269,11.3806915,9.2210798,-1.090422,8.1304855,7.1515045,-1.1342118,6.0173788,73.4018784,99.8524399,,
5.441812,-0.8432168,4.598598,5.2801843,-0.8391312,4.4405527,4.9930258,-0.7664322,4.2265,12.2428684,-0.9851255,11.2576771,9.0985708,-1.1019447,7.9964533,7.0393662,-1.1416271,5.8978252,73.3650131,99.8520737,,
5.3134604,-0.84512,4.4683437,5.1643686,-0.8449148,4.3189535,4.8792105,-0.7710228,4.1080942,12.130311,-0.9685459,11.1616964,9.0186501,-1.1198281,7.8986473,6.9359331,-1.1478543,5.7881646,73.3464432,99.8520355,,
5.1721258,-0.8453237,4.3268056,5.0500307,-0.8482462,4.2012839,4.7738872,-0.7730135,4.0007801,11.996727,-0.9674923,11.0291691,8.9101877,-1.1219633,7.7880502,6.8468528,-1.1522949,5.694644,73.353508,99.8523483,,
5.0686007,-0.8629758,4.2056284,4.9382238,-0.8558248,4.0818987,4.6709776,-0.7773431,3.8935406,11.9174795,-0.9908577,10.9265556,8.809207,-1.1260288,7.6830025,6.7569985,-1.1553255,5.601759,73.2851028,99.8518219,,
4.9655085,-0.876856,4.0886564,4.8175993,-0.8579297,3.9591701,4.5620179,-0.7818121,3.7801113,11.8334274,-1.0112561,10.8221035,8.7006569,-1.1333406,7.5671411,6.6528382,-1.1595027,5.4934225,73.2153549,99.8513336,,
4.8709455,-0.8696479,4.0013018,4.7154713,-0.8486161,3.8663552,4.4525266,-0.7764939,3.6759381,11.7571421,-1.0344465,10.7226286,8.5882416,-1.1346679,7.4533987,6.5393119,-1.1741714,5.3652277,73.1529465,99.8518753,,
4.7674279,-0.8649322,3.9024997,4.6194367,-0.8446025,3.7743347,4.3425903,-0.7746328,3.5678627,11.6837254,-1.0574963,10.6261625,8.4932232,-1.1437943,7.3492517,6.4215598,-1.1866434,5.2350035,73.1055298,99.8531113,,
4.6346312,-0.8468429,3.7877927,4.5059996,-0.8351892,3.6703103,4.2292442,-0.7732676,3.4558816,11.5151176,-1.0377333,10.4773197,8.3971405,-1.1539978,7.2429647,6.312686,-1.2049836,5.1077895,73.1210175,99.8540268,,
4.5123148,-0.8378533,3.6744657,4.3884902,-0.8235308,3.5644596,4.117424,-0.7685785,3.3487504,11.3784924,-1.0434709,10.3349562,8.2676487,-1.1497302,7.1177416,6.185564,-1.2137975,4.9718542,73.0948029,99.8547287,,
4.4143114,-0.8349948,3.5793221,4.285356,-0.8224206,3.462436,4.0067177,-0.7657484,3.2408738,11.291235,-1.0625106,10.2286606,8.1553669,-1.1674627,6.9877257,6.0657921,-1.228444,4.8374348,73.0318451,99.8545151,,
4.2672243,-0.8228444,3.4443855,4.1583242,-0.8226641,3.3351598,3.8866513,-0.7673031,3.1192524,11.1075401,-1.040633,10.066843,7.991333,-1.1752664,6.8158889,5.925952,-1.2483742,4.6776648,73.0491104,99.8540955,,
4.1500711,-0.8195328,3.3305447,4.0274253,-0.8305216,3.196404,3.7579257,-0.7712084,2.9866214,10.9963512,-1.0451264,9.9511614,7.834372,-1.2072459,6.6269464,5.7649984,-1.2651497,4.4999356,73.0017166,99.8518829,,
4.0434318,-0.8309847,3.2124527,3.9092784,-0.8285732,3.0802054,3.6491368,-0.7725126,2.876528,10.8883514,-1.0749249,9.8133612,7.6930871,-1.2126334,6.4802742,5.6364603,-1.2804362,4.3561115,72.9318085,99.8520584,,
3.9336352,-0.8317254,3.1019163,3.7913055,-0.8249184,2.9658871,3.5462849,-0.7724773,2.7737112,10.7803745,-1.0920173,9.6882944,7.5643744,-1.218787,6.345408,5.5220366,-1.2917997,4.2303247,72.8963318,99.8513489,,
3.840189,-0.834829,3.0053666,3.6897845,-0.8277313,2.8615534,3.4427147,-0.7711847,2.6714337,10.7113085,-1.1117241,9.5995216,7.4453187,-1.2358499,6.2092881,5.3995447,-1.2995614,4.100071,72.8298721,99.8506012,,
3.736625,-0.8308985,2.9057331,3.5960822,-0.8335795,2.7620027,3.3396206,-0.7717859,2.5677381,10.6034565,-1.1161296,9.4872637,7.3328385,-1.250753,6.0819044,5.286777,-1.3124139,3.9744511,72.7989044,99.8502579,,
3.6163335,-0.8273829,2.7889576,3.4821954,-0.8339407,2.6477544,3.2362773,-0.7741109,2.46207,10.4464149,-1.1106297,9.3357239,7.2067032,-1.2680485,5.9384723,5.1782417,-1.328854,3.8494751,72.7927322,99.8497162,,
3.5079322,-0.8379515,2.6699882,3.3619037,-0.8379647,2.5234389,3.1380429,-0.7805136,2.3574328,10.3271217,-1.1268631,9.2001972,7.0564909,-1.2779628,5.7783465,5.0513191,-1.3394591,3.7119479,72.7599411,99.8484421,,
3.4071712,-0.8374642,2.5697141,3.2573657,-0.8362803,2.4205856,3.0340583,-0.7778116,2.2561498,10.2168274,-1.1394453,9.077322,6.9334993,-1.2932508,5.6400652,4.9386253,-1.351009,3.5877044,72.705658,99.8481216,,
3.3048718,-0.8387438,2.4661353,3.1626391,-0.8371302,2.3250089,2.9437394,-0.7795855,2.1640565,10.1100636,-1.1486995,8.9613028,6.8205872,-1.3002871,5.5201168,4.8444972,-1.3635501,3.4810352,72.6857147,99.8482742,,
3.210834,-0.837319,2.3735223,3.0776353,-0.8422766,2.234859,2.8596027,-0.7808827,2.0786226,10.0036173,-1.1500001,8.8535566,6.7392836,-1.3195183,5.4195814,4.7580328,-1.3741343,3.3839867,72.6705475,99.8476868,,
3.1183677,-0.8359882,2.2823873,2.9896703,-0.841465,2.1477051,2.7728372,-0.7787678,1.9939721,9.8904896,-1.1454307,8.7449999,6.6477952,-1.3320231,5.315587,4.6722383,-1.3854275,3.2869,72.6382599,99.8475876,,
3.0431626,-0.8417565,2.2014141,2.909163,-0.8423597,2.066303,2.6965709,-0.7777163,1.9187571,9.8431044,-1.1750588,8.6679859,6.5574379,-1.3375126,5.2197409,4.5985384,-1.3906767,3.2079506,72.5885162,99.8472137,,
2.9565756,-0.8474296,2.1091542,2.8205042,-0.8473512,1.972653,2.6148925,-0.7804324,1.8343626,9.7422619,-1.1840485,8.5581551,6.4555497,-1.348362,5.1070013,4.5097075,-1.401275,3.10852,72.5558319,99.8464279,,
2.8749921,-0.8512033,2.0237973,2.7274523,-0.8460281,1.8809239,2.5340717,-0.7781871,1.7557867,9.649828,-1.2051976,8.4445724,6.3412676,-1.3575882,4.9834933,4.4104786,-1.4048514,3.0057151,72.50737,99.8453522,,
2.8102198,-0.8474687,1.9627596,2.6741681,-0.8390684,1.8345999,2.4772246,-0.7707797,1.7063469,9.599905,-1.2144067,8.3854389,6.2861295,-1.3551871,4.9307566,4.3607259,-1.4063122,2.9545019,72.4795074,99.846344,,
2.7641435,-0.8453458,1.9188061,2.635653,-0.8309129,1.8042399,2.4322867,-0.7638305,1.6683578,9.593646,-1.2257969,8.3677893,6.2562079,-1.3420871,4.9139338,4.3229384,-1.3954835,2.9275436,72.445694,99.8477249,,
2.704608,-0.8348728,1.8697437,2.582427,-0.8261344,1.7557929,2.3796735,-0.7592411,1.6203337,9.5054226,-1.1993815,8.3059826,6.2195582,-1.3471361,4.8722363,4.2791209,-1.3970305,2.8821797,72.4427338,99.8475189,,
2.6332421,-0.8385813,1.7946699,2.5034266,-0.8298048,1.6731217,2.3038557,-0.7614707,1.5422865,9.4527102,-1.2166811,8.2359715,6.1182084,-1.3550849,4.7629361,4.1915607,-1.4042897,2.7873597,72.4036026,99.8467102,,
2.5480819,-0.8490309,1.6990598,2.4027317,-0.8365348,1.5656966,2.2174346,-0.7640425,1.4532937,9.3776426,-1.2463088,8.1312752,6.007575,-1.3742912,4.6330967,4.1070685,-1.4136754,2.6934817,72.3493271,99.8448486,,
2.4687052,-0.8658007,1.6029139,2.3046622,-0.8448025,1.45936,2.1279774,-0.7682472,1.3596313,9.2968655,-1.2715342,8.0252733,5.8896146,-1.3907493,4.4986773,4.0092459,-1.4222392,2.5870953,72.2728043,99.8435516,,
2.3649018,-0.8586138,1.5062972,2.2276647,-0.8535956,1.3735693,2.0480299,-0.7688661,1.2790649,9.1715422,-1.2395618,7.9319229,5.8196597,-1.4077688,4.4117022,3.9344287,-1.4242003,2.5103173,72.2882233,99.8429031,,
2.2962019,-0.8633024,1.4329093,2.148792,-0.851239,1.2970531,1.976148,-0.7674497,1.2085992,9.1167831,-1.2616968,7.8550286,5.711689,-1.4021283,4.3093719,3.8592134,-1.4296085,2.4296937,72.2386169,99.8425522,,
2.2388024,-0.8678096,1.3710028,2.0830815,-0.8490527,1.2335289,1.9212202,-0.7645723,1.1565487,9.0589924,-1.2793046,7.7796311,5.6459508,-1.4111081,4.2346544,3.7919192,-1.4296341,2.3623741,72.1992188,99.8419037,,
2.1420908,-0.8526468,1.2894539,2.016253,-0.8466995,1.1690536,1.8542035,-0.759349,1.0947549,8.9226437,-1.2512487,7.6713386,5.5882244,-1.4178619,4.1701732,3.7328637,-1.4311235,2.3018289,72.2281036,99.8420563,,
2.0489783,-0.8570692,1.1919191,1.9352863,-0.8557177,1.0790687,1.7820203,-0.7652801,1.0166409,8.8268852,-1.2538449,7.5729828,5.4875951,-1.4279525,4.059453,3.6460583,-1.4378537,2.2082934,72.2323532,99.8413544,,
1.9511719,-0.8705492,1.0806333,1.8373907,-0.8700346,0.966856,1.6982231,-0.7748833,0.9232402,8.7275877,-1.2755601,7.4519715,5.3629766,-1.4467589,3.9160266,3.5555618,-1.4493783,2.1062727,72.2130814,99.8398209,,
1.8886276,-0.877685,1.0109532,1.7575907,-0.8685894,0.8885013,1.6274483,-0.7748248,0.8525237,8.6627054,-1.2904828,7.3721671,5.2709017,-1.4467437,3.823967,3.486829,-1.4528959,2.0340221,72.1558685,99.8391342,,
1.8025675,-0.8903937,0.9121845,1.6713434,-0.8753128,0.7955305,1.5593587,-0.7805265,0.7787324,8.5812511,-1.3095455,7.2716508,5.190414,-1.4552872,3.7349353,3.4248538,-1.4578493,1.9670941,72.13797,99.8383102,,
1.7491817,-0.8925344,0.8566583,1.6167562,-0.8793485,0.7369078,1.4931222,-0.7762795,0.7167429,8.544136,-1.3243359,7.2197456,5.1125054,-1.4647344,3.6475797,3.3568325,-1.4600228,1.8968992,72.0754242,99.8379364,,
1.7151846,-0.888817,0.8263785,1.5672082,-0.8749181,0.6917901,1.4440192,-0.7684376,0.6754816,8.523674,-1.3349979,7.1886215,5.0607347,-1.4684168,3.5921268,3.2970185,-1.4595559,1.8375523,72.0197449,99.8367615,,
1.6242632,-0.8799863,0.7442881,1.5090306,-0.8817188,0.6268119,1.3794577,-0.7691827,0.6101748,8.3721857,-1.2877724,7.0843582,5.0145669,-1.4857405,3.5286345,3.2453237,-1.4625854,1.7828276,72.0491257,99.8368835,,
1.5530002,-0.8886159,0.6643957,1.4294101,-0.8818765,0.5470335,1.3155593,-0.7723497,0.5431093,8.2973824,-1.3080389,6.9892893,4.9199591,-1.4839444,3.435822,3.1705003,-1.4668177,1.7037725,72.0210953,99.8364105,,
1.5014793,-0.888602,0.6128888,1.3677038,-0.8752249,0.4919789,1.2587926,-0.7688202,0.4898721,8.2296219,-1.3263237,6.9032431,4.8466482,-1.4913371,3.3551183,3.1061854,-1.4738739,1.6324015,71.9794083,99.83638,,
1.4469587,-0.890002,0.5569681,1.3098285,-0.8718128,0.4375155,1.2018559,-0.760234,0.4415215,8.1778517,-1.3436353,6.8341627,4.7682004,-1.4910338,3.2769742,3.0443892,-1.4741387,1.5703403,71.9222717,99.8360062,,
1.3950425,-0.8916928,0.5033615,1.2542694,-0.8683022,0.385467,1.1578504,-0.7566033,0.4011466,8.1185493,-1.3660601,6.7524362,4.7054992,-1.5000559,3.2052503,2.985513,-1.4744433,1.5111595,71.8985367,99.8354721,,
1.3292757,-0.8830827,0.4462048,1.1956242,-0.8689486,0.3261756,1.100816,-0.7551234,0.3455921,8.0420523,-1.3551372,6.6868615,4.6389079,-1.5141639,3.1245506,2.9149201,-1.4801321,1.4348776,71.9010849,99.834671,,
