t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e
1.0,25.53,0.46,11.745,624,357.0368889,333.5058423,0.93,79.1,16.2,27.9,29.9,6.73,1.9,17.2,3.52,15.98,4.62,20.84,0.07,122,25,113,33,0,,0,NONE,18.3,55,644,757,2533,105.6,1.76,0,47.8,0,570,1964,0,22.5,77.5,0.93,0,1.27,1.08,2.35,0.54,0.13,1.07,0,0,0,,20,91.3,0,0.36,35.02
4.0,22.47,0.577,12.966,434,426.4261919,398.1754567,0.93,97.5,22.0,26.7,28.6,8.04,2.3,16.9,3.81,15.79,4.82,20.84,0.08,120,27,112,34,0,,0,NONE,18.3,55,644,757,3026,126.1,2.1,0,57.0,0,684,2341,0,22.6,77.4,0.93,0,0.95,1.72,2.67,0.36,0.13,1.113,3,0,0,,24,90.3,0,0.61,36.3
6.0,20.55,0.565,11.61,500,399.3597636,365.1992632,0.91,94.6,22.0,25.5,27.9,7.53,2.2,16.74,3.89,15.65,4.9,20.85,0.07,119,28,111,35,0,,0,NONE,18.3,55,644,757,2821,117.6,1.96,0,53.2,0,824,1998,0,29.2,70.8,0.91,0,1.17,1.75,2.92,0.4,0.13,1.065,2,0,0,,22,91.4,0,0.48,36.81
10.0,19.42,0.456,8.854,594,287.1780898,264.1299301,0.92,77.4,16.9,26.1,28.4,5.41,1.5,16.97,3.71,15.91,4.67,20.85,0.08,121,26,113,33,0,,0,NONE,18.3,55,644,757,2031,84.6,1.41,0,38.3,0,556,1475,0,27.4,72.6,0.92,0,1.26,1.83,3.09,0.41,0.1,0.947,4,0,0,,16,93.4,0,0.36,35.34
13.0,18.4,0.582,10.712,565,350.4714507,321.5052379,0.92,98.6,21.7,26.9,29.3,6.61,1.9,16.94,3.73,15.85,4.77,20.85,0.08,120,26,113,34,0,,0,NONE,18.3,55,644,757,2478,103.2,1.72,0,46.7,0,699,1779,0,28.2,71.8,0.92,0,1.31,1.95,3.26,0.4,0.14,1.03,3,0,0,,20,92.0,0,0.44,35.98
16.0,20.0,0.565,11.3,593,364.4334182,339.5066564,0.93,95.8,21.2,27.2,29.2,6.87,2.0,16.96,3.75,15.78,4.81,20.82,0.1,120,27,112,34,0,,0,NONE,18.3,55,644,757,2584,107.7,1.79,0,48.7,0,603,1981,0,23.3,76.7,0.93,0,1.25,1.75,3.0,0.42,0.14,1.053,3,0,0,,20,91.6,0,0.45,36.23
19.0,19.8,0.661,13.089,593,439.1956673,410.0469205,0.93,111.1,25.7,26.6,28.5,8.28,2.4,16.81,3.89,15.7,4.9,20.83,0.08,119,28,111,35,0,,0,NONE,18.3,55,644,757,3116,129.8,2.16,0,58.7,0,706,2410,0,22.7,77.3,0.93,0,1.21,1.82,3.03,0.4,0.14,1.117,3,0,0,,24,90.3,0,0.55,36.81
22.0,20.76,0.576,11.958,624,377.6974123,355.2028,0.94,98.2,21.2,27.8,29.6,7.12,2.0,17.05,3.68,16.04,4.64,20.84,0.07,121,26,114,33,0,,0,NONE,18.3,55,644,757,2684,111.8,1.86,1,50.6,0,546,2138,0,20.3,79.7,0.94,0,1.25,1.64,2.89,0.43,0.13,1.078,3,0,0,,21,91.1,0,0.46,35.15
24.0,22.47,0.574,12.899,544,409.2588828,382.6459621,0.93,97.9,21.1,27.7,29.6,7.71,2.2,17.06,3.68,15.96,4.7,20.86,0.07,121,26,113,33,0,,0,NONE,18.3,55,644,757,2905,121.0,2.02,1,54.8,0,645,2260,0,22.2,77.8,0.93,0,1.11,1.56,2.67,0.42,0.14,1.111,2,0,0,,23,90.4,0,0.52,35.53
27.0,19.67,0.566,11.134,622,339.7997507,324.4400022,0.95,97.1,20.5,28.7,30.1,6.41,1.8,17.16,3.62,15.99,4.71,20.83,0.08,122,26,114,33,0,,0,NONE,18.3,55,644,757,2422,100.9,1.68,1,45.7,0,374,2049,0,15.4,84.6,0.95,0,1.17,1.88,3.05,0.38,0.15,1.047,3,0,0,,19,91.7,0,0.48,35.6
