O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
5.4168954,-2.9641638,2.4526689,6.1960607,-3.0054176,3.1906433,6.0908265,-2.9610591,3.1301465,10.4617977,-2.5537972,7.9085274,10.1989727,-3.1253152,7.0745916,8.9306517,-3.1527486,5.7785916,78.0830154,99.8644562,,
5.4022822,-2.9245656,2.4776549,6.1858463,-2.9726975,3.2131486,6.0685282,-2.9425073,3.1264005,10.3984814,-2.5294271,7.8695841,10.1662798,-3.1212869,7.0459266,8.8747196,-3.1661608,5.7092485,78.1047516,99.8662796,,
5.3993654,-2.8941514,2.5051515,6.1717863,-2.9430022,3.228785,6.035924,-2.9245906,3.111712,10.3738022,-2.5388489,7.8354821,10.1256351,-3.1143551,7.0122147,8.796155,-3.1806874,5.6161551,78.0715942,99.867981,,
5.3845377,-2.8736587,2.5108171,6.1428328,-2.915874,3.2269585,5.9915452,-2.9132423,3.0786822,10.3303471,-2.5571792,7.7736955,10.041893,-3.1113954,6.9314299,8.7028418,-3.2056851,5.4978447,78.0302505,99.8703308,,
5.3211279,-2.8518584,2.4692073,6.0919552,-2.8971655,3.1947906,5.9303846,-2.9096611,3.0211024,10.2086086,-2.5653818,7.6437554,9.946188,-3.1229041,6.8242164,8.5779638,-3.2323685,5.3462834,78.0538025,99.8727798,,
5.2507153,-2.8499808,2.400672,6.0231943,-2.8937502,3.1294436,5.850143,-2.9088917,2.9416301,10.0519199,-2.5857205,7.4667273,9.8386946,-3.148911,6.6907172,8.461729,-3.2630756,5.1993413,78.0098495,99.8738708,,
5.1629767,-2.8533127,2.3096023,5.9357734,-2.8985782,3.0371957,5.7562127,-2.9123256,2.844265,9.9420214,-2.624311,7.3182387,9.7100506,-3.1725948,6.5383883,8.335906,-3.2851176,5.0514765,77.9656525,99.8739166,,
5.0568972,-2.8570983,2.1997371,5.8436079,-2.9056871,2.9379206,5.6594958,-2.9167867,2.7430873,9.7905798,-2.6424634,7.1486464,9.5873899,-3.2045944,6.3837285,8.2014303,-3.3018403,4.9002776,77.9425812,99.8742523,,
4.9525061,-2.8622224,2.0902219,5.7513337,-2.9117444,2.8395891,5.5642228,-2.9188921,2.6457086,9.6441851,-2.6675925,6.9771233,9.4539757,-3.2231762,6.2317305,8.0769882,-3.3186786,4.7589979,77.9076233,99.8744812,,
4.8520489,-2.8612041,1.9907839,5.6599498,-2.9174926,2.7424567,5.4711313,-2.9213028,2.5502067,9.480917,-2.6721234,6.8093233,9.3294621,-3.2456775,6.0847144,7.9651732,-3.3375931,4.6282682,77.8891602,99.874054,,
4.7583833,-2.8732395,1.8850828,5.5588527,-2.9154727,2.6433799,5.3787661,-2.9221816,2.4569619,9.3539333,-2.715867,6.638598,9.1875839,-3.2508607,5.9376526,7.8397651,-3.3479352000000002,4.4925179,77.8220367,99.8745575,,
4.654109,-2.8668969,1.7871513,5.4688878,-2.9171591,2.5517287,5.2901311,-2.9226491,2.3678596,9.2058029,-2.7192597,6.4870744,9.0692263,-3.2699723,5.8001828,7.723732,-3.361634,4.3627868,77.823555,99.8743134,,
4.5753064,-2.8730996,1.7021459,5.3825889,-2.9215901,2.4609995,5.2049589,-2.9241571,2.281179,9.112093,-2.743696,6.3689289,8.9594336,-3.2897763,5.6705852,7.6121383,-3.3714879,4.2413392,77.767662,99.8736649,,
4.498683,-2.8809879,1.6176344,5.2966871,-2.9210534,2.3756335,5.1209493,-2.9226184,2.1987083,9.0082006,-2.7708933,6.2378402,8.850399,-3.307462,5.5438638,7.5098052,-3.3827114,4.1277819,77.6952667,99.8736343,,
4.410346,-2.8820255,1.5282601,5.2128291,-2.9213018,2.2915268,5.0382652,-2.9230955,2.1155469,8.88169,-2.7871718,6.0950508,8.721384,-3.3154633,5.4068484,7.3947892,-3.3965187,3.9989579,77.6662064,99.8738022,,
