HR,HRR
78.0,0.13322980244862578
78.0,0.13322980244862578
78.0,0.13322980244862578
78.0,0.13322980244862578
78.0,0.13322980244862578
78.0,0.13322980244862578
78.0,0.13322980244862578
78.0,0.13322980244862578
78.0,0.13322980244862578
79.0,0.1418975044241395
79.0,0.1418975044241395
78.0,0.13322980244862578
78.0,0.13322980244862578
78.0,0.13322980244862578
78.0,0.13322980244862578
78.5,0.13756365343638263
79.0,0.1418975044241395
79.0,0.1418975044241395
78.0,0.13322980244862578
78.0,0.13322980244862578
77.0,0.12456210047311203
76.0,0.11589439849759829
75.0,0.10722669652208455
74.0,0.09855899454657081
74.0,0.09855899454657081
75.0,0.10722669652208455
76.0,0.11589439849759829
77.0,0.12456210047311203
77.0,0.12456210047311203
77.0,0.12456210047311203
76.0,0.11589439849759829
75.0,0.10722669652208455
75.0,0.10722669652208455
76.0,0.11589439849759829
77.0,0.12456210047311203
76.0,0.11589439849759829
77.0,0.12456210047311203
76.0,0.11589439849759829
75.0,0.10722669652208455
75.0,0.10722669652208455
74.0,0.09855899454657081
74.0,0.09855899454657081
75.0,0.10722669652208455
75.0,0.10722669652208455
75.0,0.10722669652208455
76.0,0.11589439849759829
76.0,0.11589439849759829
76.0,0.11589439849759829
76.0,0.11589439849759829
77.0,0.12456210047311203
78.0,0.13322980244862578
79.0,0.1418975044241395
79.0,0.1418975044241395
79.0,0.1418975044241395
78.0,0.13322980244862578
77.0,0.12456210047311203
76.0,0.11589439849759829
75.0,0.10722669652208455
74.0,0.09855899454657081
74.0,0.09855899454657081
75.0,0.10722669652208455
76.0,0.11589439849759829
77.0,0.12456210047311203
77.0,0.12456210047311203
76.0,0.11589439849759829
75.0,0.10722669652208455
74.0,0.09855899454657081
74.0,0.09855899454657081
73.0,0.08989129257105706
75.0,0.10722669652208455
76.0,0.11589439849759829
76.0,0.11589439849759829
78.0,0.13322980244862578
78.5,0.13756365343638263
79.0,0.1418975044241395
79.0,0.1418975044241395
79.0,0.1418975044241395
79.0,0.1418975044241395
79.0,0.1418975044241395
79.0,0.1418975044241395
80.0,0.15056520639965326
80.0,0.15056520639965326
81.0,0.159232908375167
81.0,0.159232908375167
82.0,0.16790061035068074
82.0,0.16790061035068074
82.0,0.16790061035068074
83.0,0.1765683123261945
83.0,0.1765683123261945
84.0,0.18523601430170822
84.0,0.18523601430170822
84.0,0.18523601430170822
84.0,0.18523601430170822
84.0,0.18523601430170822
84.0,0.18523601430170822
84.0,0.18523601430170822
84.0,0.18523601430170822
85.0,0.19390371627722197
87.0,0.21123912022824945
87.0,0.21123912022824945
89.0,0.22857452417927693
89.0,0.22857452417927693
88.0,0.2199068222037632
87.0,0.21123912022824945
85.0,0.19390371627722197
84.0,0.18523601430170822
81.0,0.159232908375167
80.0,0.15056520639965326
80.0,0.15056520639965326
81.0,0.159232908375167
80.0,0.15056520639965326
80.0,0.15056520639965326
81.0,0.159232908375167
79.0,0.1418975044241395
78.0,0.13322980244862578
78.0,0.13322980244862578
78.0,0.13322980244862578
77.0,0.12456210047311203
77.0,0.12456210047311203
78.0,0.13322980244862578
79.0,0.1418975044241395
79.0,0.1418975044241395
80.0,0.15056520639965326
79.0,0.1418975044241395
80.0,0.15056520639965326
81.0,0.159232908375167
82.0,0.16790061035068074
86.0,0.2025714182527357
87.0,0.21123912022824945
91.0,0.2459099281303044
94.0,0.27191303405684564
97.0,0.29791613998338684
99.0,0.31525154393441435
101.0,0.33258694788544185
105.0,0.3672577557874968
106.0,0.37592545776301056
