TSI%,TSI Fit Factor,O2Hb1,HHb1,tHb1,HbDiff1,O2Hb2,HHb2,tHb2,HbDiff2,O2Hb3,HHb3,tHb3,HbDiff3,O2Hb2-2,HHb2-2,tHb2-2,HbDiff2-2,Event,Event Time
69.4341888,99.8743896,14.9698868,1.9455782,16.9158669,13.0242872,14.5290928,2.1956651,16.7242565,12.3333187,14.4446516,2.4903083,16.9351578,11.9543428,17.012104,1.9638611,18.9762306,15.048254,,
69.3601685,99.8738785,14.7850771,1.9564722,16.7419472,12.8285828,14.3410778,2.2122645,16.5528431,12.128706,14.2674456,2.5062823,16.7739277,11.7611628,16.8906155,1.9537281,18.8446083,14.9368973,,
69.4389191,99.8746185,14.9563475,2.0195725,16.9763184,12.9367504,14.531723,2.2689269,16.8001518,12.2626867,14.4629393,2.5597432,17.0228825,11.9031963,16.9336491,2.0001204,18.9340343,14.9335384,,
69.4656906,99.8750763,15.4574032,2.1403232,17.5981255,13.3170528,15.0039549,2.3956952,17.3991489,12.6081467,14.9219189,2.6889267,17.6110477,12.2329922,17.1825867,2.0223346,19.2051888,15.160265,,
69.4208145,99.8759918,15.4008846,2.2118506,17.6131363,13.1890106,14.9484634,2.4646077,17.412571,12.4837446,14.8585415,2.7486703,17.6074123,12.1098719,17.1703377,2.0300965,19.2006989,15.140254,,
69.3220825,99.8749619,15.1450758,2.2542768,17.3997498,12.8907747,14.6894808,2.5102248,17.1992054,12.1791449,14.6183596,2.7926233,17.4111824,11.8257341,17.0282879,2.0396171,19.0681686,14.9886827,,
69.2429047,99.877121,15.0484943,2.2719824,17.3208771,12.7764902,14.6093321,2.5328372,17.1416683,12.0763845,14.5084658,2.816978,17.3256454,11.6914892,16.9176941,2.0286469,18.9466057,14.8890553,,
69.3382339,99.8772964,15.4642773,2.366327,17.8310051,13.0979252,15.0069323,2.6295285,17.6359615,12.3772907,14.9169569,2.9050949,17.8222523,12.0118618,17.0641861,2.0660758,19.1305275,14.9981213,,
69.3330536,99.8771286,15.8252773,2.4523737,18.2780514,13.372879,15.3380146,2.7068558,18.0443687,12.6310444,15.2158995,2.9894772,18.2055779,12.2264233,17.310194,2.1163545,19.4268131,15.1938524,,
69.2353668,99.8772507,15.5267658,2.4411616,17.9683266,13.0855789,15.039525,2.7044866,17.7435093,12.3349237,14.9248943,2.9819906,17.9070854,11.9429045,17.2056293,2.1087122,19.3146076,15.0969296,,
69.194603,99.8755264,15.1573544,2.428865,17.5866203,12.728467,14.6884403,2.6802194,17.3681602,12.00811,14.5975857,2.9589963,17.5567837,11.6385908,17.043499,2.1296306,19.1733971,14.9138813,,
69.1766129,99.8749771,15.0330658,2.4301534,17.4636192,12.6028891,14.5771885,2.6800008,17.2566872,11.8970757,14.4974899,2.9629138,17.4606056,11.5345774,16.9961052,2.1430745,19.1394424,14.8530407,,
69.3058853,99.875412,15.433919,2.5023043,17.9366245,12.9315872,14.985384,2.7531083,17.7379932,12.2321644,14.9198627,3.034687,17.9547482,11.8851757,17.2450123,2.1891923,19.434473,15.0558338,,
69.2648926,99.8767166,15.6582203,2.5658753,18.2244987,13.0923185,15.1909609,2.8256917,18.0161514,12.3651562,15.1007261,3.107816,18.2087421,11.9929104,17.4038944,2.2248321,19.6289921,15.1790752,,
69.168045,99.8765564,15.2877607,2.5541871,17.84235,12.733552,14.8437481,2.821559,17.6648064,12.0220785,14.7698498,3.10744,17.877491,11.6624117,17.228817,2.2154698,19.4445534,15.013361,,
69.1096649,99.8758392,14.877141,2.5375237,17.4150658,12.3395948,14.4833279,2.7968345,17.2796612,11.686384199999999,14.4254017,3.0964348,17.5220356,11.3289661,17.0278339,2.2165649,19.2446613,14.8112793,,
69.0748291,99.8755951,14.7612171,2.5389411,17.3005562,12.2222528,14.3815212,2.8091838,17.1902046,11.5722275,14.3433685,3.114511,17.4580803,11.228857,16.9540081,2.2202895,19.1745625,14.7337294,,
69.1585541,99.8745346,15.2132616,2.6275601,17.8412228,12.5856771,14.8203125,2.9110811,17.7308922,11.9091196,14.8142033,3.2239718,18.0383759,11.5902319,17.1926384,2.2507961,19.4436989,14.9418545,,
69.1707458,99.8749542,15.5294523,2.7134583,18.2433109,12.8159685,15.1158857,3.0012558,18.116642,12.1145153,15.1011963,3.3133347,18.4147301,11.7878628,17.4116535,2.272449,19.6843681,15.1392183,,
