t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e
1.0,20.48,1.212,24.819,1133,763.5263116,700.7952461,0.92,207.5,41.7,30.6,33.4,11.02,3.1,17.12,3.44,15.65,4.78,20.73,0.07,124,25,113,35,0,,0,NONE,18.2,45,658,770,5398,224.9,3.75,0,77.9,0,1514,3884,0,28.0,72.0,0.92,0,1.62,1.31,2.93,0.55,0.26,1.395,0,0,0,,26,87.5,0,0.75,36.6
4.0,22.81,0.665,15.171,628,410.4129461,365.6799015,0.89,117.2,19.6,33.1,37.1,5.92,1.7,17.62,2.95,16.11,4.39,20.78,0.07,127,21,116,32,0,,0,NONE,18.2,45,658,770,2884,120.2,2.0,0,41.6,0,1073,1811,0,37.2,62.8,0.89,0,1.13,1.5,2.63,0.43,0.27,1.181,3,0,0,,14,92.4,0,0.59,34.06
7.0,21.51,0.721,15.505,661,440.1473398,396.2496739,0.9,125.9,22.5,31.8,35.3,6.35,1.8,17.46,3.12,16.08,4.42,20.78,0.07,126,23,116,32,0,,0,NONE,18.2,45,658,770,3100,129.1,2.15,0,44.7,0,1055,2044,0,34.0,66.0,0.9,0,1.2,1.59,2.79,0.43,0.24,1.19,3,0,0,,15,92.2,0,0.6,34.26
10.0,16.04,1.049,16.829,1025,480.1967834,445.8677543,0.93,183.1,33.7,32.7,35.2,6.93,2.0,17.45,3.21,15.96,4.6,20.81,0.05,126,23,115,33,0,,0,NONE,18.2,45,658,770,3403,141.8,2.36,0,49.1,0,830,2573,0,24.4,75.6,0.93,0,1.62,2.12,3.74,0.43,0.28,1.226,3,0,0,,16,91.5,0,0.65,35.43
14.0,17.91,0.813,14.561,803,388.2894735,360.0050938,0.93,143.7,24.4,34.3,37.0,5.6,1.6,17.68,3.0,16.15,4.48,20.81,0.05,128,22,117,32,0,,0,NONE,18.2,45,658,770,2751,114.6,1.91,0,39.7,0,684,2067,0,24.9,75.1,0.93,0,1.35,2.0,3.35,0.4,0.29,1.163,4,0,0,,13,92.7,0,0.6,34.65
18.0,14.05,1.029,14.459,971,420.493677,398.8881828,0.95,178.9,34.4,32.0,33.8,6.07,1.7,17.39,3.34,15.94,4.68,20.82,0.05,126,24,115,34,0,,0,NONE,18.2,45,658,770,2993,124.7,2.08,1,43.2,0,525,2468,0,17.5,82.5,0.95,0,1.84,2.43,4.27,0.43,0.26,1.16,4,0,0,,14,92.7,0,0.56,35.95
22.0,14.89,1.067,15.886,1012,452.0171076,428.6425952,0.95,186.3,34.9,32.8,34.6,6.52,1.9,17.46,3.27,16.08,4.61,20.82,0.05,126,24,116,33,0,,0,NONE,18.2,45,658,770,3217,134.1,2.23,1,46.4,0,568,2650,0,17.6,82.4,0.95,0,1.71,2.32,4.03,0.42,0.27,1.201,4,0,0,,15,92.0,0,0.62,35.5
25.0,20.83,0.749,15.604,740,412.5008099,390.0844454,0.95,132.5,22.8,34.3,36.3,5.95,1.7,17.69,3.04,16.27,4.44,20.81,0.06,128,22,118,32,0,,0,NONE,18.2,45,658,770,2934,122.3,2.04,1,42.3,0,544,2390,0,18.5,81.5,0.95,0,1.3,1.58,2.88,0.45,0.27,1.193,3,0,0,,14,92.1,0,0.58,34.39
28.0,17.7,1.169,20.69,1131,569.2172679,554.7829608,0.97,205.2,38.0,34.2,35.1,8.21,2.3,17.55,3.25,16.28,4.52,20.82,0.05,127,24,118,33,0,,0,NONE,18.2,45,658,770,4076,169.8,2.83,1,58.8,0,353,3723,0,8.7,91.3,0.97,0,1.4,1.99,3.39,0.41,0.27,1.316,3,0,0,,19,89.6,0,0.84,34.91
31.0,18.46,0.985,18.185,902,466.3128742,461.0166448,0.99,174.9,30.3,36.2,36.6,6.73,1.9,17.76,3.08,16.4,4.45,20.81,0.05,128,22,119,32,0,,0,NONE,18.2,45,658,770,3349,139.5,2.33,1,48.3,0,130,3219,0,3.9,96.1,0.99,0,1.54,1.71,3.25,0.47,0.28,1.26,3,0,0,,16,90.8,0,0.64,34.45
35.0,19.61,0.913,17.902,961,451.0222601,454.098411,1.01,162.5,28.1,36.6,36.4,6.51,1.9,17.8,3.08,16.5,4.37,20.81,0.05,129,22,119,32,0,,0,NONE,18.2,45,658,770,3252,135.5,2.26,1,46.9,0,0,3252,0,0.0,100.0,1.01,0,1.45,1.61,3.06,0.47,0.27,1.253,4,0,0,,15,91.0,0,0.63,33.93
37.0,21.74,0.706,15.348,690,378.6366817,372.3863719,0.98,126.2,20.8,36.5,37.1,5.46,1.6,17.88,2.95,16.48,4.37,20.81,0.05,129,21,119,32,0,,0,NONE,18.2,45,658,770,2716,113.2,1.89,1,39.2,0,153,2563,0,5.6,94.4,0.98,0,1.19,1.57,2.76,0.43,0.27,1.186,2,0,0,,13,92.3,0,0.59,33.93
40.0,19.48,0.781,15.214,754,390.2060252,383.6771095,0.98,138.7,23.9,35.5,36.1,5.63,1.6,17.76,3.06,16.47,4.39,20.81,0.05,128,22,119,32,0,,0,NONE,18.2,45,658,770,2799,116.6,1.94,1,40.4,0,160,2639,0,5.7,94.3,0.98,0,1.28,1.8,3.08,0.42,0.26,1.182,3,0,0,,13,92.3,0,0.61,34.06
44.0,19.29,0.846,16.322,820,431.4592926,425.2032529,0.99,149.1,26.9,34.7,35.2,6.23,1.8,17.62,3.18,16.22,4.57,20.77,0.07,127,23,117,33,0,,0,NONE,18.2,45,658,770,3097,129.0,2.15,1,44.7,0,153,2943,0,4.9,95.1,0.99,0,1.45,1.66,3.11,0.47,0.26,1.213,4,0,0,,14,91.8,0,0.58,35.24
46.0,26.91,0.644,17.327,548,457.2265004,439.0433606,0.96,113.9,19.8,33.8,35.2,6.6,1.9,17.69,3.07,16.35,4.43,20.81,0.05,128,22,118,32,0,,0,NONE,18.2,45,658,770,3263,136.0,2.27,2,47.1,0,443,2820,0,13.6,86.4,0.96,0,1.04,1.19,2.23,0.47,0.24,1.239,2,0,0,,15,91.3,0,0.62,34.32
52.0,11.3,2.933,33.141,3008,792.188432,872.1361707,1.1,525.5,93.3,40.8,37.1,11.43,3.3,17.92,3.18,16.97,4.22,20.83,0.04,130,23,123,31,0,,0,NONE,18.2,45,658,770,5830,242.9,4.05,2,84.1,0,0,5830,0,0.0,100.0,1.1,0,2.02,3.29,5.31,0.38,0.28,1.52,6,0,0,,26,83.3,0,1.45,32.95
56.0,14.05,0.747,10.496,718,247.3905477,266.3678985,1.08,134.1,23.0,38.5,35.7,3.57,1.0,17.95,3.08,16.8,4.31,20.81,0.05,130,22,121,31,0,,0,NONE,18.2,45,658,770,1811,75.5,1.26,2,26.1,0,0,1811,0,0.0,100.0,1.08,0,2.13,2.14,4.27,0.5,0.24,1.021,4,0,0,,8,94.7,0,0.35,33.54
60.0,13.89,0.604,8.389,560,221.7094546,223.8445565,1.01,106.6,19.6,33.5,33.1,3.2,0.9,17.65,3.25,16.51,4.4,20.81,0.06,128,23,119,32,0,,0,NONE,18.2,45,658,770,1600,66.7,1.11,2,23.1,0,0,1600,0,0.0,100.0,1.01,0,2.42,1.9,4.32,0.56,0.2,0.924,4,0,0,,7,95.8,0,0.25,34.13
63.0,20.41,0.301,6.143,253,143.678503,138.302077,0.96,54.3,8.3,32.8,34.1,2.07,0.6,18.04,2.76,17.08,3.72,20.81,0.07,130,20,123,27,0,,0,NONE,18.2,45,658,770,1026,42.7,0.71,2,14.8,0,131,895,0,12.8,87.2,0.96,0,1.63,1.31,2.94,0.55,0.1,0.788,3,0,0,,5,96.9,0,0.18,29.71
68.0,11.32,1.073,12.147,1037,388.8762317,370.4771332,0.95,182.8,39.6,29.2,30.6,5.61,1.6,17.04,3.69,15.74,4.94,20.82,0.05,123,27,114,36,0,,0,NONE,18.2,45,658,770,2771,115.4,1.92,2,40.0,0,447,2323,0,16.1,83.9,0.95,0,2.8,2.5,5.3,0.53,0.23,1.084,5,0,0,,13,93.9,0,0.38,37.64
72.0,13.61,1.134,15.429,1121,488.7035848,468.8344348,0.96,193.7,41.7,29.6,30.9,7.05,2.0,17.08,3.68,15.85,4.86,20.83,0.05,123,27,115,35,0,,0,NONE,18.2,45,658,770,3487,145.3,2.42,2,50.3,0,484,3003,0,13.9,86.1,0.96,0,2.18,2.23,4.41,0.49,0.22,1.188,4,0,0,,16,92.2,0,0.52,37.12
76.0,14.71,0.956,14.059,1001,411.5779518,395.7406231,0.96,165.9,32.6,31.7,32.9,5.94,1.7,17.35,3.41,16.07,4.68,20.82,0.05,125,25,116,34,0,,0,NONE,18.2,45,658,770,2938,122.4,2.04,3,42.4,0,386,2552,0,13.1,86.9,0.96,0,1.86,2.22,4.08,0.46,0.24,1.148,4,0,0,,14,92.9,0,0.51,35.95
79.0,22.39,0.499,11.172,400,298.4684451,278.5272199,0.93,88.2,15.1,32.2,34.5,4.31,1.2,17.68,3.03,16.48,4.26,20.82,0.05,128,22,119,31,0,,0,NONE,18.2,45,658,770,2117,88.2,1.47,3,30.6,0,483,1635,0,22.8,77.2,0.93,0,1.19,1.49,2.68,0.44,0.2,1.048,3,0,0,,10,94.4,0,0.42,33.22
83.0,16.04,0.747,11.984,735,344.2606162,327.2825552,0.95,129.8,24.8,31.5,33.2,4.97,1.4,17.38,3.32,15.95,4.73,20.77,0.06,126,24,115,34,0,,0,NONE,18.2,45,658,770,2452,102.2,1.7,3,35.4,0,413,2039,0,16.8,83.2,0.95,0,1.61,2.13,3.74,0.43,0.24,1.079,4,0,0,,11,94.0,0,0.46,36.28
87.0,12.61,1.239,15.618,925,511.5852046,490.8305264,0.96,209.8,47.1,28.8,30.0,7.38,2.1,16.93,3.8,15.62,5.02,20.81,0.05,122,27,113,36,0,,0,NONE,18.2,45,658,770,3651,152.1,2.54,3,52.7,0,505,3145,0,13.8,86.2,0.96,0,1.78,2.98,4.76,0.37,0.22,1.194,4,0,0,,17,92.1,0,0.7,38.16
92.0,14.53,1.595,23.172,1462,657.8647533,653.6118958,0.99,278.1,54.5,33.7,33.9,9.49,2.7,17.44,3.42,16.25,4.56,20.82,0.05,126,25,117,33,0,,0,NONE,18.2,45,658,770,4730,197.1,3.28,3,68.3,0,104,4626,0,2.2,97.8,0.99,0,1.57,2.56,4.13,0.38,0.25,1.365,5,0,0,,22,88.3,0,1.02,35.17
96.0,13.04,2.357,30.743,1847,794.5067382,856.9787474,1.08,417.3,79.6,37.5,34.8,11.46,3.3,17.7,3.38,16.84,4.29,20.84,0.05,128,24,122,31,0,,0,NONE,18.2,45,658,770,5819,242.5,4.04,3,84.0,0,0,5819,0,0.0,100.0,1.08,0,2.05,2.55,4.6,0.45,0.24,1.488,4,0,0,,27,84.5,0,1.15,33.41
101.0,12.9,1.409,18.181,1480,391.9183006,457.2451885,1.17,255.7,43.0,44.1,37.8,5.66,1.6,18.15,3.05,17.12,4.14,20.81,0.05,131,22,124,30,0,,0,NONE,18.2,45,658,770,2925,121.9,2.03,4,42.2,0,0,2925,0,0.0,100.0,1.17,0,1.72,2.93,4.65,0.37,0.27,1.26,5,0,0,,13,90.8,0,0.82,32.44
105.0,16.53,0.88,14.545,898,307.767921,347.0371134,1.13,160.4,25.5,43.5,38.6,4.44,1.3,18.23,2.9,17.09,4.18,20.82,0.05,132,21,124,30,0,,0,NONE,18.2,45,658,770,2278,94.9,1.58,4,32.9,0,0,2278,0,0.0,100.0,1.13,0,1.65,1.98,3.63,0.45,0.28,1.163,4,0,0,,10,92.7,0,0.53,32.7
111.0,12.88,1.289,16.597,1217,369.2379182,424.5459637,1.15,233.2,40.0,42.5,37.0,5.33,1.5,18.09,3.1,16.94,4.34,20.83,0.05,131,22,122,31,0,,0,NONE,18.3,45,658,770,2746,114.4,1.91,4,39.6,0,0,2746,0,0.0,100.0,1.15,0,2.18,2.48,4.66,0.47,0.28,1.22,6,0,0,,12,91.6,0,0.59,33.74
115.0,11.43,1.537,17.566,1456,416.7964163,468.5221296,1.12,275.5,49.7,40.2,35.8,6.01,1.7,17.92,3.23,16.84,4.4,20.83,0.05,130,23,122,32,0,,0,NONE,18.3,45,658,770,3083,128.5,2.14,4,44.5,0,0,3083,0,0.0,100.0,1.12,0,2.74,2.51,5.25,0.52,0.27,1.245,4,0,0,,14,91.1,0,0.56,34.13
116.0,28.57,0.254,7.257,235,122.6859611,132.1878681,1.08,47.7,5.7,42.9,39.8,1.77,0.5,18.78,2.24,17.9,3.25,20.83,0.07,136,16,129,23,0,,0,NONE,18.3,45,658,770,898,37.4,0.62,4,13.0,0,0,898,0,0.0,100.0,1.08,0,1.1,1.0,2.1,0.52,0.12,0.861,1,0,0,,4,96.3,0,0.23,26.65
124.0,8.2,1.37,11.23,2170,280.4346769,325.8701429,1.16,243.7,48.0,38.0,32.7,4.05,1.2,17.79,3.5,16.64,4.73,20.87,0.04,129,25,120,34,146,2.11,21,REST,18.3,45,657,770,2091,87.1,1.45,4,30.2,0,0,2091,0,0.0,100.0,1.16,0,4.48,2.84,7.32,0.61,0.25,1.05,8,0,0,,9,94.3,146,0.31,36.28
127.0,26.91,0.453,12.188,626,276.8154149,304.9552442,1.1,82.0,13.8,37.2,33.8,3.99,1.1,18.1,3.05,17.06,4.27,20.87,0.06,131,22,123,31,146,2.11,67,REST,18.3,45,657,770,2038,84.9,1.42,4,29.4,0,0,2038,0,0.0,100.0,1.1,0,0.99,1.24,2.23,0.44,0.18,1.086,3,0,0,,9,93.9,146,0.46,33.28
130.0,15.67,1.273,19.943,846,664.9653612,687.2485666,1.03,214.4,53.0,28.3,27.4,9.6,2.7,16.84,4.16,15.58,5.39,20.85,0.05,122,30,113,39,146,2.11,70,REST,18.3,45,657,770,4823,201.0,3.35,4,69.6,0,0,4823,0,0.0,100.0,1.03,0,1.61,2.22,3.83,0.42,0.2,1.3,3,0,0,,22,89.9,146,0.79,40.57
137.0,15.04,3.436,51.669,1424,1983.6518787,1901.3383297,0.96,561.0,152.3,25.5,26.6,28.62,8.2,16.33,4.43,15.29,5.34,20.87,0.04,118,32,111,39,146,2.11,79,REST,18.3,45,657,770,14152,589.7,9.83,5,204.2,0,2004,12148,0,14.2,85.8,0.96,0,1.3,2.69,3.99,0.33,0.18,1.713,7,0,0,,66,74.0,146,2.64,40.24
141.0,14.18,1.888,26.78,1981,969.4853253,927.5407819,0.96,312.8,79.0,26.6,27.8,13.99,4.0,16.57,4.18,15.4,5.19,20.85,0.05,120,30,111,38,146,2.11,79,REST,18.3,45,657,770,6914,288.1,4.8,6,99.8,0,1021,5893,0,14.8,85.2,0.96,0,1.88,2.35,4.23,0.44,0.19,1.428,4,0,0,,32,86.5,146,1.0,39.27
145.0,13.25,2.927,38.768,3158,1250.6204223,1217.6540907,0.97,497.9,111.2,30.3,31.1,18.05,5.2,17.01,3.8,15.63,5.03,20.84,0.05,123,27,113,36,146,2.11,79,REST,18.3,45,657,770,8952,373.0,6.22,6,129.2,0,805,8147,0,9.0,91.0,0.97,0,1.63,2.9,4.53,0.36,0.26,1.588,4,0,0,,42,80.5,146,1.8,38.22
150.0,14.49,3.207,46.478,2401,1753.6159543,1601.3608002,0.91,526.2,133.5,25.9,28.4,25.3,7.2,16.41,4.16,15.0,5.28,20.83,0.05,119,30,108,38,146,2.11,81,REST,18.3,45,657,770,12385,516.0,8.6,7,178.7,0,3670,8715,0,29.6,70.4,0.91,0,1.84,2.3,4.14,0.44,0.22,1.667,5,0,0,,59,76.6,146,1.74,39.85
156.0,9.97,3.555,35.432,3322,1307.3062531,1154.9005608,0.88,588.1,140.1,26.6,30.1,18.86,5.4,16.54,3.94,14.98,5.16,20.84,0.05,120,28,108,37,146,2.11,82,REST,18.3,45,657,770,9171,382.1,6.37,7,132.3,0,3649,5522,0,39.8,60.2,0.88,0,1.55,4.47,6.02,0.26,0.25,1.549,6,0,0,,44,82.1,146,2.29,39.07
164.0,13.64,3.781,51.559,3355,2186.6957564,1795.7908437,0.82,603.3,159.1,23.1,28.2,31.55,9.0,15.96,4.21,14.43,5.34,20.83,0.05,115,30,104,39,146,2.11,82,REST,18.3,45,657,770,15125,630.2,10.5,9,218.3,0,9228,5897,0,61.0,39.0,0.82,0,1.82,2.58,4.4,0.41,0.23,1.712,8,0,0,,73,74.0,146,2.08,40.24
169.0,12.66,1.909,24.165,2098,1229.1925994,935.6706803,0.76,287.5,89.2,18.9,24.9,17.74,5.1,15.06,4.67,12.91,6.16,20.83,0.05,109,34,93,45,146,2.11,78,REST,18.3,45,657,770,8385,349.4,5.82,9,121.0,0,6834,1551,0,81.5,18.5,0.76,0,1.58,3.16,4.74,0.33,0.22,1.383,5,0,0,,41,87.8,146,1.21,45.58
172.0,16.09,2.552,41.051,2584,2186.9843333,1623.9263525,0.74,378.0,121.8,18.3,24.6,31.56,9.0,14.81,4.77,13.13,5.94,20.83,0.05,107,35,95,43,146,2.11,81,REST,18.3,45,657,770,14854,618.9,10.32,10,214.3,0,13053,1802,0,87.9,12.1,0.74,0,1.83,1.9,3.73,0.49,0.19,1.613,3,0,0,,73,79.3,146,1.39,44.15
175.0,20.0,2.591,51.82,2615,2465.243648,1861.9273062,0.76,400.6,112.7,20.5,27.1,35.57,10.2,15.46,4.35,13.85,5.6,20.85,0.06,112,31,100,40,146,2.11,81,REST,18.3,45,657,770,16794,699.8,11.66,10,242.3,0,14027,2767,0,83.5,16.5,0.76,0,1.37,1.63,3.0,0.46,0.22,1.714,3,0,0,,82,73.9,146,1.89,41.93
