TSI%,TSI Fit Factor,O2Hb1,HHb1,tHb1,HbDiff1,O2Hb2,HHb2,tHb2,HbDiff2,O2Hb3,HHb3,tHb3,HbDiff3,O2Hb2-2,HHb2-2,tHb2-2,HbDiff2-2,Event,Event Time
74.3805771,99.9460068,1.2762668,0.1819744,1.4582412,1.0942637,1.3340726,0.2017353,1.5358078,1.1323469,1.2829435,0.1982618,1.4812052,1.0847818,1.314388,0.1655669,1.4800334,1.1487172,,
74.4358521,99.9461823,1.3715953,0.1918961,1.5634913,1.1796701,1.4364244,0.2084512,1.6448758,1.2279823,1.3834355,0.2053445,1.5887802,1.1781909,1.4827589,0.1843829,1.6672205,1.2982726,,
74.432579,99.9464874,1.4375463,0.1910481,1.6285942,1.2464688,1.493322,0.2158327,1.7091547,1.277498,1.4417512,0.210532,1.6522831,1.2313192,1.5652524,0.1815968,1.7469279,1.3835523,,
74.4252777,99.9465256,1.4180914,0.1884753,1.6065668,1.2295867,1.4761803,0.2122963,1.6884766,1.2638929,1.4220804,0.2079844,1.630065,1.214196,1.5074097,0.1777326,1.6852211,1.3295738,,
74.4317398,99.9464722,1.3923872,0.1851289,1.577516,1.207229,1.4534041,0.2081645,1.6615684,1.2452486,1.4024349,0.2033365,1.6057714,1.1991984,1.4640664,0.1759785,1.6401234,1.2879843,,
74.4387131,99.9464798,1.3715161,0.1827359,1.554252,1.188751,1.4384739,0.2026756,1.6411495,1.2358075,1.3853823,0.1987466,1.5841287,1.1867356,1.4222654,0.1751131,1.5974572,1.2470487,,
74.4122162,99.9463501,1.3510857,0.1768225,1.5279081,1.1742342,1.4122324,0.1959423,1.6081747,1.2162994,1.3537545,0.1933759,1.5471305,1.1604785,1.3958582,0.1640953,1.5600318,1.2316592,,
74.415535,99.946106,1.3118536,0.173314,1.4851677,1.1385107,1.3741312,0.1875765,1.5617077,1.1865642,1.3152956,0.1849695,1.5002651,1.130426,1.3269399,0.167345,1.4943635,1.1594909,,
74.4320221,99.9460449,1.2923011,0.1690592,1.4613601,1.1232131,1.3598526,0.1828072,1.5426598,1.177055,1.3061956,0.1798853,1.486081,1.1264102,1.3033249,0.164719,1.4681222,1.1385018,,
74.4225006,99.9462128,1.396548,0.1685882,1.5651362,1.2279308,1.4462644,0.1922879,1.6385523,1.2539854,1.3935935,0.187508,1.5811017,1.2061856,1.4823005,0.1647841,1.647163,1.3174129,,
74.4342957,99.9462204,1.4442313,0.1717332,1.6159645,1.2724687,1.4883449,0.1963674,1.6847122,1.2919863,1.4359071,0.1901008,1.6260078,1.2459064,1.5519772,0.1652222,1.7172779,1.3866515,,
74.4439926,99.9463959,1.4086237,0.1719768,1.5806006,1.2366178,1.4643232,0.1931306,1.6574535,1.2712016,1.4094448,0.1874754,1.5969203,1.2220695,1.4657223,0.1704339,1.6362346,1.2951847,,
74.4511642,99.9463654,1.382818,0.1731648,1.5559827,1.2096241,1.4426666,0.1928076,1.635474,1.2498682,1.3905905,0.1864477,1.5770384,1.2042429,1.4160215,0.1749736,1.5910738,1.2409441,,
74.4223175,99.9460983,1.3743869,0.1666097,1.5409966,1.2077481,1.4229953,0.1887814,1.6117767,1.2342231,1.3713197,0.1830622,1.5543821,1.1883576,1.4158835,0.1611405,1.5771024,1.2546391,,
74.4197388,99.9460831,1.3343304,0.1592042,1.4935348,1.1750975,1.385502,0.1817232,1.5672252,1.2037883,1.3365035,0.1756256,1.5121291,1.1609778,1.3539793,0.1509475,1.5050051,1.2029276,,
74.4249725,99.9460144,1.3119209,0.1571911,1.4691122,1.154701,1.3651907,0.1774451,1.5426359,1.1877552,1.3167166,0.1709917,1.4877083,1.1458249,1.3223878,0.1522534,1.4747195,1.1700302,,
74.4432755,99.9459763,1.388412,0.1620647,1.5504766,1.226318,1.4353392,0.1842273,1.6195667,1.2511213,1.3883507,0.1771415,1.5654923,1.2113092,1.4517008,0.1676899,1.6194693,1.2839072,,
74.4751205,99.9460068,1.433259,0.1717859,1.605045,1.2614439,1.4899404,0.1868149,1.6767555,1.3031346,1.4357727,0.1826356,1.6184082,1.2532369,1.4970119,0.1914526,1.6885431,1.3054562,,
74.480072,99.946228,1.406659,0.1687796,1.5754387,1.2378503,1.4637419,0.1869761,1.650718,1.2767748,1.4153244,0.178602,1.5939263,1.2368224,1.4384496,0.1824777,1.6210063,1.2558684,,
74.4497375,99.9459991,1.3934169,0.1629429,1.5563598,1.2304447,1.443332,0.1811431,1.6244752,1.2621982,1.3904262,0.1751152,1.5655414,1.2154111,1.4244583,0.1703498,1.5948868,1.2540048,,
74.4449463,99.9459991,1.3815854,0.1591853,1.5407706,1.2223709,1.4283001,0.1783842,1.6066843,1.2499254,1.3764496,0.1709966,1.5474461,1.2055529,1.4076715,0.1700926,1.5778426,1.237475,,
74.4476547,99.9460068,1.3600678,0.1553652,1.5154331,1.2046735,1.4087099,0.1736192,1.5823292,1.2351003,1.3570743,0.165606,1.5226803,1.1915681,1.3804183,0.1619036,1.5424004,1.2184107,,
74.4662094,99.9459305,1.4140162,0.1596857,1.5737019,1.2543013,1.4627737,0.1771099,1.6398836,1.2856729,1.4108771,0.1706814,1.5815585,1.2402956,1.4693736,0.1759848,1.645437,1.2932854,,
74.5207901,99.9461517,1.4852855,0.1715969,1.6568823,1.3136591,1.5406561,0.1844925,1.7251486,1.3561723,1.4870874,0.1760836,1.6631711,1.3111038,1.5603745,0.1996844,1.7601376,1.3605869,,
74.5009918,99.9463196,1.4859045,0.1684919,1.6543964,1.3173831,1.5352018,0.1847213,1.719923,1.3504891,1.4788576,0.1749328,1.6537905,1.3040249,1.540475,0.1961796,1.7367332,1.3441923,,
74.515152,99.9460907,1.4573433,0.1682975,1.6256409,1.2890165,1.5150511,0.1780941,1.6931452,1.3369658,1.4577427,0.1707753,1.6285181,1.2870675,1.4914824,0.1964543,1.6880152,1.2949249,,
74.520401,99.9461899,1.4418185,0.1682081,1.6100267,1.2735811,1.502273,0.1757652,1.6780382,1.3265167,1.4427335,0.1674117,1.6101453,1.2754221,1.4638733,0.2012084,1.6651604,1.2625616,,
74.5486984,99.9460602,1.4427435,0.171234,1.6139774,1.2714803,1.5099156,0.172602,1.6825176,1.3373225,1.4495817,0.1647816,1.6143633,1.2849002,1.4553246,0.2137738,1.6691771,1.2414474,,
74.5646057,99.9461212,1.5335838,0.1748341,1.7084179,1.3587202,1.5916612,0.1807601,1.7724212,1.4109094,1.5334659,0.1714765,1.7049423,1.3620894,1.6126531,0.2164987,1.8292309,1.3960516,,
74.5688629,99.9461288,1.601175,0.1803964,1.7815714,1.4207487,1.6531382,0.1858623,1.8390005,1.467284,1.5892677,0.1773655,1.7666334,1.4120023,1.7065014,0.2268787,1.9334589,1.4795201,,
