O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
0.1037603,-0.1049619,-0.0011016,0.0539712,-0.0583879,-0.0048167,0.0176452,-0.1403603,-0.1231151,0.8923914,0.4713074,1.3642924,0.6306785,0.4713572,1.1026444,0.4173191,0.211604,0.6289393,71.1058502,99.9732513,,
0.0989626,-0.117227,-0.0181644,0.0400478,-0.0592776,-0.0196298,0.0005423,-0.1423592,-0.1422169,0.8831723,0.4565199,1.3402859,0.6076011,0.4798786,1.0880885,0.4117669,0.2111228,0.6229061,71.0527802,99.973587,,
0.0276318,-0.0999435,-0.0722117,0.0125784,-0.0653022,-0.0531238,-0.0174419,-0.1479697,-0.1658116,0.7031269,0.5230032,1.2267239,0.5831848,0.4711568,1.0549504,0.3772519,0.2186833,0.5959516,71.1897659,99.9734192,,
-0.0046211,-0.0925618,-0.097083,0.0044052,-0.0718736,-0.0678684,-0.0288257,-0.1503305,-0.1795562,0.651713,0.5419883,1.1942949,0.5849599,0.4685305,1.0540991,0.3840408,0.2087047,0.5927619,71.24330140000001,99.97332,,
0.036941,-0.1047394,-0.0676983,0.0134107,-0.0702659,-0.0572552,-0.0136654,-0.1510567,-0.1651221,0.7802479,0.4945256,1.2753671,0.5849599,0.4685305,1.0540991,0.399545,0.2118187,0.61138,71.1817322,99.9730453,,
0.0955197,-0.1299888,-0.034369,0.0222268,-0.0655803,-0.0437535,-0.0013527,-0.1500574,-0.1518101,0.899679,0.4322581,1.3325307,0.6129267,0.4719995,1.085535,0.4117669,0.2111228,0.6229061,71.0476303,99.9731064,,
0.06769,-0.1350896,-0.0672997,-0.0029896,-0.0655806,-0.0689702,-0.0203506,-0.1517046,-0.1724552,0.8420625,0.4414224,1.2840784,0.5831848,0.4711568,1.0549504,0.4057121,0.2070712,0.6127996,71.0432434,99.9732361,,
0.0253243,-0.1158282,-0.0904039,-0.0127257,-0.0707527,-0.0838784,-0.0352859,-0.1488339,-0.1845198,0.7484072,0.4941719,1.243173,0.5849599,0.4685305,1.0540991,0.3840408,0.2087047,0.5927619,71.1177979,99.9728394,,
-0.0074252,-0.0928788,-0.100204,-0.0005737,-0.0766085,-0.0775822,-0.0437575,-0.1474593,-0.1916168,0.6865943,0.5473033,1.2344913,0.6058216,0.4568854,1.0633159,0.3840408,0.2087047,0.5927619,71.206131,99.9730301,,
-0.0314942,-0.07675,-0.1081442,-0.0091348,-0.0816497,-0.0911844,-0.0603462,-0.1501419,-0.2108881,0.6391423,0.598188,1.2379241,0.6200231,0.4358746,1.0565065,0.3534298,0.2148438,0.5682901,71.2613602,99.972702,,
