O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
18.7285271,-2.9416337,15.7869463,19.970932,-2.4740658,17.4972649,19.3868351,-2.2562146,17.1305752,22.5172138,-1.2095826,21.3080101,23.471611,-0.9321054,22.5393486,21.0053215,-0.8764712,20.128727,74.9480743,99.980072,,
18.7289829,-2.9186766,15.810358,19.9924641,-2.4407325,17.5521336,19.4020748,-2.2307172,17.1713123,22.6324978,-1.1872518,21.4456253,23.620575,-0.8838248,22.7365932,21.1230278,-0.8541692,20.2687321,74.9467621,99.9808807,,
18.8526649,-2.8481419,16.0045738,20.1760044,-2.3655634,17.8108406,19.5622501,-2.1597207,17.4024849,22.9147377,-1.0873836,21.8277302,23.9531269,-0.7710357,23.1819363,21.3890114,-0.7623591,20.6265297,74.9848633,99.9820938,,
19.0336227,-2.7736852,16.2599869,20.3893261,-2.2804055,18.1093216,19.7484264,-2.0853496,17.6630325,23.2449913,-0.9630885,22.2822781,24.3326187,-0.645041,23.6874237,21.6805649,-0.6513318,21.029108,75.0019455,99.9833145,,
19.2008018,-2.713665,16.4871864,20.5825253,-2.2147412,18.3681831,19.8980274,-2.0275447,17.8704357,23.5368767,-0.8352267,22.7020264,24.6485977,-0.5259272,24.1225224,21.8920059,-0.5356797,21.3562031,75.0013275,99.9844208,,
19.3102455,-2.6696036,16.6406898,20.6923065,-2.1528089,18.5398979,19.9964409,-1.9913582,18.0050392,23.853199,-0.740917,23.1126537,24.9216137,-0.419304,24.502161,22.0709419,-0.4620026,21.6088161,75.0135956,99.9855728,,
19.3197536,-2.6257768,16.6940269,20.7198353,-2.1156907,18.6045437,19.9887466,-1.966868,18.0218353,24.0584145,-0.6348817,23.4239063,25.0836353,-0.3295154,24.7539711,22.1501904,-0.4191122,21.7309532,75.0161591,99.9862747,,
19.2412567,-2.6132429,16.6280613,20.6483746,-2.1037307,18.5450439,19.880497,-1.9574862,17.9229698,24.1310043,-0.5845155,23.5468655,25.1173611,-0.2827796,24.8344345,22.1181049,-0.4038606,21.7141171,74.9587479,99.9867401,,
19.1386528,-2.6171472,16.5215569,20.5258102,-2.0988839,18.4273262,19.7374897,-1.9585094,17.7789345,24.1779976,-0.5522659,23.6261044,25.1100121,-0.2553571,24.8545055,22.0481319,-0.3902842,21.6577225,74.8769684,99.9870758,,
19.0070724,-2.6224039,16.3847198,20.4042072,-2.0946336,18.3099709,19.5885715,-1.9657675,17.6227608,24.1933098,-0.5084372,23.6852455,25.0946884,-0.2162227,24.8783226,21.9697762,-0.3960843,21.5735664,74.8257065,99.9878159,,
18.8552227,-2.617363,16.2379112,20.2478867,-2.0912836,18.1570015,19.4173775,-1.9694103,17.4479198,24.1800613,-0.4855575,23.6948795,25.073164,-0.2011981,24.8718185,21.8794231,-0.3872057,21.4920921,74.77565,99.9880524,,
18.6829567,-2.6234367,16.0595703,20.0939827,-2.0985858,17.9957962,19.2318077,-1.9788225,17.2529392,24.1552963,-0.4632359,23.6924324,25.0305901,-0.1785024,24.8519402,21.7524624,-0.3749904,21.3773499,74.7204971,99.9884491,,
18.5225601,-2.6363873,15.8862247,19.9193878,-2.1093659,17.8104248,19.0444603,-1.995965,17.0484524,24.1051598,-0.4525863,23.6529465,24.9540176,-0.1721995,24.7816715,21.5955276,-0.3530185,21.2423878,74.6583252,99.9886475,,
18.3370838,-2.6510119,15.6861238,19.7446251,-2.1230652,17.6219597,18.8324566,-2.0105662,16.8218441,24.0133095,-0.4296033,23.5840797,24.8623676,-0.1668023,24.6954193,21.4460316,-0.3696793,21.0762291,74.580246,99.9890213,,
18.1638985,-2.6603811,15.5035677,19.5782204,-2.1257536,17.4528694,18.646677,-2.0186968,16.6279354,23.9983406,-0.4355585,23.5631542,24.7996445,-0.1607317,24.6387653,21.347353,-0.3975129,20.9497185,74.5163651,99.9894257,,
17.9529171,-2.678812,15.2741575,19.3694859,-2.1466727,17.2232132,18.4299698,-2.0344708,16.3954506,23.9009056,-0.4599283,23.4413548,24.6478157,-0.178827,24.4688396,21.1565857,-0.3864559,20.7700081,74.4511261,99.9893494,,
17.768343,-2.671804,15.096591,19.1963749,-2.1295247,17.0672512,18.2515945,-2.0287867,16.2227592,23.8488503,-0.4115387,23.437685,24.6014576,-0.1404277,24.4608822,21.0448494,-0.3721886,20.6725407,74.4027328,99.9898376,,
17.6699848,-2.6340444,15.0359926,19.0985985,-2.086782,17.0122147,18.1416073,-2.0105658,16.1309929,23.9311981,-0.3198171,23.6117554,24.6394634,-0.0608808,24.578434,20.9939919,-0.3473445,20.6465263,74.3834915,99.9904633,,
17.597599,-2.5916891,15.0059643,19.026001,-2.0483317,16.9780693,18.0014744,-1.9883583,16.0130692,24.0908375,-0.1978167,23.8933945,24.7023811,0.0418541,24.7440891,20.9605446,-0.3511723,20.6092529,74.3031769,99.9910812,,
17.4983616,-2.557513,14.9409027,18.8845329,-2.0121007,16.8728333,17.8291798,-1.9721006,15.8570309,24.1872845,-0.0839038,24.103756,24.6572628,0.1280394,24.7851543,20.8533974,-0.3398955,20.5133762,74.2074738,99.9914551,,
17.3769932,-2.543365,14.8336792,18.7046356,-1.989431,16.7156048,17.6300659,-1.9715583,15.6584597,24.2405949,-0.0219542,24.2190132,24.5354195,0.1780157,24.7132912,20.6678104,-0.3339079,20.3337803,74.1002655,99.9918137,,
17.2260838,-2.5273726,14.6987638,18.5252571,-1.9804232,16.5452347,17.4163895,-1.9737606,15.4425793,24.2124367,0.0333074,24.2461166,24.3987141,0.2004929,24.599062,20.4593887,-0.3334517,20.1258163,74.0114746,99.9919662,,
17.0765095,-2.5246053,14.5519581,18.3264771,-1.9793059,16.3475723,17.1860657,-1.9794401,15.2065763,24.1848679,0.0596432,24.2448826,24.2325516,0.2072752,24.439682,20.2286835,-0.3326194,19.8959446,73.8852768,99.9920197,,
16.9221611,-2.5207596,14.4014559,18.1533852,-1.9949719,16.1588116,16.9888916,-1.9941696,14.9946699,24.0975552,0.078953,24.1768818,24.0828171,0.1905316,24.273201,19.9871178,-0.3142116,19.6727848,73.8268661,99.991806,,
16.7589531,-2.5201199,14.2388868,17.9792633,-2.0025923,15.9770708,16.7810192,-2.0063596,14.7746105,24.000803,0.1017277,24.1029015,23.9398155,0.1874272,24.1270981,19.807579,-0.3458377,19.4616203,73.7514954,99.9918976,,
16.6376038,-2.5195482,14.1181126,17.8271561,-1.9864454,15.8411102,16.6156349,-2.0025477,14.613039,23.983448,0.1061334,24.0899582,23.8403358,0.2124479,24.0526352,19.6534557,-0.3348064,19.318531,73.6515884,99.9922333,,
16.5394402,-2.4683909,14.0711031,17.6543159,-1.955662,15.6990557,16.4157505,-1.9972023,14.418498,24.0127125,0.1961688,24.2092552,23.6295013,0.2381405,23.8674946,19.4205761,-0.3971687,19.0232887,73.5733795,99.9922485,,
16.4392567,-2.3867314,14.052577,17.3633156,-1.9309466,15.4327717,16.1192608,-1.9918983,14.1273098,23.9154682,0.3035914,24.2194328,23.1030674,0.187266,23.2901821,18.9048061,-0.4949832,18.4097042,73.429985,99.9910049,,
16.3522797,-2.2679324,14.0844011,17.0541763,-1.8847859,15.1697893,15.8625364,-1.9527733,13.9097118,23.6795845,0.4182958,24.0982552,22.3839684,0.0934891,22.4773026,18.3298454,-0.5724378,17.757288,73.3090973,99.9881744,,
16.2139168,-2.1950507,14.018919,16.7785625,-1.8640591,14.9149036,15.6410856,-1.9290638,13.7119694,23.5478783,0.4854657,24.0337162,21.8331738,0.0382469,21.8712654,17.9109745,-0.6172392,17.2936153,73.234848,99.9853363,,
16.0169067,-2.1768703,13.8400908,16.4906273,-1.8810381,14.6099911,15.3694735,-1.9378172,13.4316025,23.3592567,0.5176105,23.8772469,21.4247646,-0.0362283,21.3883781,17.5506916,-0.6497034,16.9008675,73.130928,99.9832306,,
15.8391953,-2.1702187,13.669034,16.2561188,-1.8909216,14.3655977,15.1541471,-1.9453939,13.2087021,23.2394638,0.5468057,23.7866459,21.1304817,-0.0611962,21.0691261,17.269249,-0.6330513,16.6360798,73.0562515,99.9818726,,
15.6839542,-2.1665893,13.5174198,16.0660381,-1.8812479,14.1851902,14.9796371,-1.9433222,13.0362625,23.1654644,0.56125,23.7270927,20.9550915,-0.0593683,20.8955593,17.0555611,-0.5880746,16.4673691,72.9833832,99.9815903,,
15.5671597,-2.1179059,13.4493103,15.9504213,-1.8425642,14.1082554,14.8754854,-1.8981489,12.9772844,23.089304,0.6379918,23.7276707,20.8219662,-0.0256327,20.796175,16.9247704,-0.5442584,16.3803921,72.9421234,99.9810104,,
15.4613218,-2.0782142,13.3831654,15.8263493,-1.8054364,14.0213108,14.7644825,-1.8610319,12.9033995,23.0274506,0.6903024,23.7181301,20.6848679,0.0018444,20.6865501,16.8468895,-0.5807015,16.2660713,72.8843536,99.9805298,,
15.2976379,-2.0848422,13.2128525,15.6150103,-1.8053267,13.8100834,14.5890064,-1.8709513,12.7180004,22.9707451,0.7003726,23.6714973,20.4905453,-0.0070543,20.4833298,16.6901245,-0.5859649,16.1040401,72.8282394,99.9798126,,
