t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e
4.0,11.9,0.733,8.726,585,249.8415534,237.0429311,0.95,126.7,24.3,31.6,33.3,2.84,0.8,17.29,3.32,15.74,4.75,20.69,0.05,124,24,113,34,0,,0,REST,19.4,50,653,765,1779,74.1,1.24,0,20.2,0,311,1468,0,17.5,82.5,0.95,0,2.91,2.13,5.04,0.58,0.25,0.941,0,0,0,,7,95.7,0,0.25,36.19
13.0,7.13,1.071,7.641,1277,261.8409232,219.4792932,0.84,179.6,37.3,27.3,32.5,2.98,0.9,16.77,3.48,15.14,4.91,20.75,0.03,120,25,109,35,0,,0,REST,19.5,50,653,765,1818,75.8,1.26,0,20.7,0,1004,814,0,55.2,44.8,0.84,0,4.15,4.26,8.41,0.49,0.26,0.883,9,0,0,,7,96.2,0,0.26,37.23
20.0,8.3,1.086,9.012,951,365.9793576,280.7367051,0.77,174.9,41.1,23.0,30.0,4.16,1.2,16.1,3.78,14.39,5.12,20.75,0.04,116,27,103,37,0,,0,REST,19.5,50,653,765,2500,104.2,1.74,0,28.4,0,1987,513,0,79.5,20.5,0.77,0,3.29,3.94,7.23,0.46,0.23,0.955,7,0,0,,10,95.5,0,0.33,38.58
27.0,9.2,0.753,6.929,902,275.5161539,197.4905584,0.72,122.3,26.1,22.8,31.8,3.13,0.9,16.24,3.47,14.58,4.82,20.74,0.04,117,25,105,35,0,,0,REST,19.5,50,653,765,1860,77.5,1.29,0,21.2,0,1798,62,0,96.7,3.3,0.72,0,3.36,3.16,6.52,0.52,0.23,0.841,7,0,0,,7,96.6,0,0.22,36.65
33.0,9.43,0.65,6.132,813,223.1801511,154.1237597,0.69,108.2,19.9,24.5,35.5,2.54,0.7,16.65,3.06,14.9,4.49,20.74,0.04,120,22,107,32,0,,0,REST,19.5,50,653,765,1498,62.4,1.04,1,17.0,0,1498,0,0,100.0,0.0,0.69,0,3.45,2.91,6.36,0.54,0.26,0.788,6,0,0,,6,97.0,0,0.19,34.51
37.0,11.76,1.277,15.024,649,753.388466,511.7087435,0.68,193.0,52.8,18.8,27.8,8.57,2.4,15.11,4.13,13.35,5.41,20.74,0.04,109,30,96,39,0,,0,REST,19.5,50,653,765,5042,210.1,3.5,1,57.4,0,5042,0,0,100.0,0.0,0.68,0,2.05,3.05,5.1,0.4,0.21,1.177,4,0,0,,20,92.6,0,0.62,40.46
43.0,11.67,0.812,9.479,1284,348.607936,241.5402551,0.69,134.8,25.2,24.8,35.9,3.97,1.1,16.6,3.1,14.78,4.52,20.74,0.04,119,22,106,32,0,,0,REST,19.5,50,653,765,2340,97.5,1.63,1,26.6,0,2340,0,0,100.0,0.0,0.69,0,2.52,2.62,5.14,0.49,0.27,0.977,6,0,0,,9,95.3,0,0.32,34.71
51.0,7.65,1.148,8.786,1188,368.8423998,261.3760743,0.71,183.9,41.4,22.4,31.6,4.2,1.2,16.02,3.61,14.49,4.83,20.76,0.03,115,26,104,35,0,,0,REST,19.5,50,653,765,2485,103.6,1.73,1,28.3,0,2472,14,0,99.4,0.6,0.71,0,4.33,3.51,7.84,0.55,0.23,0.944,8,0,0,,10,95.6,0,0.27,36.71
57.0,10.29,0.677,6.967,740,246.6920915,172.3241134,0.7,113.4,20.4,25.3,36.3,2.81,0.8,16.75,3.01,15.0,4.38,20.74,0.04,120,22,108,31,0,,0,REST,19.5,50,653,765,1658,69.1,1.15,1,18.9,0,1658,0,0,100.0,0.0,0.7,0,3.07,2.76,5.83,0.53,0.26,0.843,6,0,0,,6,96.5,0,0.22,33.8
64.0,8.46,1.232,10.426,893,468.9750551,330.909114,0.71,193.1,47.5,21.0,29.7,5.34,1.5,15.67,3.86,13.87,5.18,20.75,0.04,113,28,100,37,0,,0,REST,19.5,50,653,765,3158,131.6,2.19,2,35.9,0,3158,0,0,100.0,0.0,0.71,0,2.89,4.2,7.09,0.41,0.23,1.018,7,0,0,,12,94.8,0,0.43,38.97
71.0,8.17,1.163,9.507,1220,384.7442423,271.6698932,0.71,188.2,40.3,23.2,32.9,4.38,1.3,16.18,3.47,14.13,5.04,20.75,0.03,116,25,101,36,0,,0,REST,19.5,50,653,765,2591,108.0,1.8,2,29.5,0,2591,0,0,100.0,0.0,0.71,0,3.76,3.58,7.34,0.51,0.29,0.978,7,0,0,,10,95.3,0,0.31,38.07
75.0,13.07,1.413,18.471,1063,823.877005,588.6504685,0.71,221.5,54.7,21.3,29.8,9.37,2.7,15.68,3.87,14.03,5.18,20.72,0.04,113,28,101,37,0,,0,REST,19.5,50,653,765,5559,231.6,3.86,2,63.2,0,5417,142,0,97.4,2.6,0.71,0,2.16,2.43,4.59,0.47,0.24,1.266,4,0,0,,22,90.8,0,0.65,38.97
79.0,14.35,2.474,35.512,1995,1397.1888497,1092.7198351,0.78,401.4,92.5,24.7,31.6,15.9,4.5,16.22,3.74,14.97,4.83,20.74,0.04,116,27,107,35,0,,0,REST,19.5,50,653,765,9577,399.1,6.65,2,109.0,0,7123,2454,0,74.4,25.6,0.78,0,1.84,2.34,4.18,0.44,0.24,1.55,4,0,0,,37,82.4,0,1.34,36.71
85.0,11.43,1.441,16.469,1536,523.9506356,446.6574346,0.85,245.3,47.7,29.9,35.1,5.96,1.7,17.02,3.31,15.42,4.76,20.73,0.05,122,24,111,34,0,,0,REST,19.5,50,653,765,3650,152.1,2.53,3,41.5,0,1838,1812,0,50.3,49.7,0.85,0,1.65,3.6,5.25,0.31,0.3,1.217,6,0,0,,14,91.8,0,0.87,36.26
