O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
-0.5354865,-0.0725931,-0.6081454,-0.523046,-0.0538528,-0.5768989,-0.5426825,-0.0337143,-0.5759212,-0.396818,-0.0237972,-0.4204356,-0.3243826,-0.063051,-0.3872175,-0.3718313,-0.0439662,-0.4156814,71.5000763,99.845253,,
-0.552291,-0.065391,-0.6177478,-0.5313772,-0.0507121,-0.5820892,-0.5471427,-0.0317867,-0.5784537,-0.4297853,-0.0068548,-0.4364605,-0.3243826,-0.063051,-0.3872175,-0.3750921,-0.0427622,-0.4177381,71.5286331,99.8452301,,
-0.5337502,-0.0646799,-0.5984959,-0.5329771,-0.0476624,-0.5806395,-0.5493624,-0.0273102,-0.5761969,-0.3964317,-0.0165268,-0.4127789,-0.3302488,-0.056988,-0.3870208,-0.3750921,-0.0427622,-0.4177381,71.4828262,99.844162,,
-0.5527838,-0.0675775,-0.620427,-0.5451593,-0.0476189,-0.5927782,-0.5605479,-0.030558,-0.5906302,-0.4277261,-0.0137803,-0.4413268,-0.3564432,-0.0568776,-0.4131049,-0.3891712,-0.0453115,-0.4343665,71.4927216,99.8450928,,
-0.5349848,-0.0704146,-0.6054652,-0.5322281,-0.050506,-0.5827342,-0.5493636,-0.0285073,-0.5773952,-0.4110424,-0.0186188,-0.4294816,-0.3382654,-0.057997,-0.3960463,-0.3745604,-0.0470944,-0.4215387,71.4735641,99.8444061,,
-0.5054779,-0.0520346,-0.5575784,-0.4904247,-0.0470908,-0.5375155,-0.514809,-0.0220707,-0.536404,-0.3624232,0.0081723,-0.3540715,-0.2852858,-0.0615747,-0.3466443,-0.3470401,-0.0391918,-0.3861156,71.5243912,99.8440094,,
-0.4972501,-0.0588529,-0.5561689,-0.4956419,-0.0418719,-0.5375139,-0.513609,-0.0218847,-0.5350178,-0.3365375,-0.0061991,-0.3425572,-0.2922523,-0.0590385,-0.3510747,-0.3403134,-0.0401261,-0.3803232,71.4956665,99.8444061,,
-0.484336,-0.0655547,-0.5499567,-0.4951594,-0.0411852,-0.5363446,-0.5179242,-0.0184592,-0.5359076,-0.3048625,-0.025152,-0.3298351,-0.2922523,-0.0590385,-0.3510747,-0.3403134,-0.0401261,-0.3803232,71.4379654,99.8443985,,
-0.5005708,-0.0632894,-0.5639262,-0.5035613,-0.0414521,-0.5450134,-0.5257756,-0.0193581,-0.5446579,-0.3453699,-0.0128792,-0.3580697,-0.3130834,-0.051455,-0.3643222,-0.3521398,-0.0388583,-0.3908819,71.4557877,99.8446426,,
-0.5133318,-0.0690188,-0.5824164,-0.5163473,-0.041618,-0.5579653,-0.5327135,-0.0215846,-0.5538223,-0.3559418,-0.0287967,-0.384559,-0.3325303,-0.0459463,-0.3782605,-0.3649049,-0.0362109,-0.4009995,71.4535904,99.8449478,,
