t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e,SV e,CO e,CI e
6.0,8.76,2.113,18.508,2026,642.210402,585.7616943,0.91,354.1,83.0,27.9,30.5,7.98,2.3,16.76,3.93,15.56,5.0,20.91,0.07,119,28,110,35,0,,0,REST,18.5,66,643,755,4535,188.9,3.15,0,56.3,0,1360,3174,0,30.0,70.0,0.91,0,2.4,4.45,6.85,0.35,0.22,1.267,0,0,0,,18,90.7,0,0.88,37.36,,,
12.0,10.79,1.571,16.953,1480,547.458188,519.6622121,0.95,267.0,59.8,29.6,31.2,6.8,1.9,17.0,3.81,15.68,4.96,20.89,0.07,120,27,111,35,0,,0,REST,18.5,66,643,755,3898,162.4,2.71,0,48.4,0,675,3222,0,17.3,82.7,0.95,0,2.02,3.54,5.56,0.36,0.23,1.229,6,0,0,,16,91.5,0,0.78,37.1,,,
16.0,12.27,1.479,18.147,1212,597.6899854,563.324506,0.94,250.3,57.0,28.9,30.7,7.42,2.1,16.92,3.85,15.68,4.99,20.89,0.07,120,27,111,35,0,,0,REST,18.5,66,642,755,4249,177.0,2.95,0,52.8,0,834,3415,0,19.6,80.4,0.94,0,2.39,2.5,4.89,0.49,0.22,1.259,4,0,0,,17,90.9,0,0.62,37.29,,,
23.0,9.0,2.647,23.811,2506,695.9752398,736.6179546,1.06,457.5,101.4,33.3,31.5,8.65,2.5,17.28,3.83,16.21,4.81,20.89,0.06,122,27,115,34,0,,0,REST,18.5,66,642,755,5075,211.5,3.52,1,63.0,0,0,5075,0,0.0,100.0,1.06,0,2.51,4.16,6.67,0.38,0.22,1.377,7,0,0,,20,88.1,0,1.05,36.14,,,
29.0,10.22,1.426,14.576,1437,411.5764162,437.761366,1.06,248.3,53.2,33.7,31.7,5.11,1.5,17.41,3.73,16.38,4.77,20.9,0.07,123,26,116,34,0,,0,REST,18.5,66,642,755,3005,125.2,2.09,1,37.3,0,0,3005,0,0.0,100.0,1.06,0,2.73,3.14,5.87,0.47,0.21,1.164,6,0,0,,12,92.7,0,0.52,35.89,,,
34.0,10.95,1.188,13.007,1223,364.0378197,379.6816823,1.04,207.4,43.1,33.6,32.2,4.52,1.3,17.46,3.63,16.32,4.77,20.9,0.07,124,26,116,34,0,,0,REST,18.5,66,643,755,2646,110.2,1.84,1,32.9,0,0,2646,0,0.0,100.0,1.04,0,2.1,3.38,5.48,0.38,0.23,1.114,5,0,0,,10,93.5,0,0.57,35.89,,,
42.0,7.61,3.631,27.647,3597,678.6016508,807.2752344,1.19,646.3,131.4,40.0,33.6,8.43,2.4,17.8,3.62,17.03,4.41,20.91,0.06,126,26,121,31,0,,0,REST,18.5,66,643,755,5090,212.1,3.53,2,63.2,0,0,5090,0,0.0,100.0,1.19,0,3.1,4.78,7.88,0.39,0.22,1.442,8,0,0,,20,86.1,0,1.17,33.59,,,
48.0,10.14,1.408,14.27,1373,346.9289049,410.0820271,1.18,250.4,50.3,39.1,33.1,4.31,1.2,17.78,3.57,16.75,4.68,20.86,0.07,126,25,119,33,0,,0,REST,18.5,66,643,755,2598,108.2,1.8,2,32.3,0,0,2598,0,0.0,100.0,1.18,0,2.51,3.41,5.92,0.42,0.23,1.154,6,0,0,,10,92.8,0,0.56,35.32,,,
54.0,9.82,1.339,13.149,1354,347.7337873,389.6493009,1.12,235.2,49.3,35.8,32.0,4.32,1.2,17.57,3.68,16.59,4.73,20.87,0.07,124,26,117,33,0,,0,REST,18.5,66,643,755,2570,107.1,1.78,2,31.9,0,0,2570,0,0.0,100.0,1.12,0,2.72,3.39,6.11,0.45,0.22,1.119,6,0,0,,10,93.4,0,0.49,35.64,,,
60.0,9.71,1.508,14.641,1582,408.8471678,450.4027603,1.1,262.3,57.6,34.1,31.0,5.08,1.5,17.39,3.82,16.38,4.79,20.87,0.07,123,27,116,34,0,,0,REST,18.5,66,643,755,3010,125.4,2.09,2,37.4,0,0,3010,0,0.0,100.0,1.1,0,2.54,3.64,6.18,0.41,0.2,1.166,6,0,0,,12,92.7,0,0.59,36.02,,,
66.0,10.56,1.599,16.891,1483,470.2399238,515.4971811,1.1,278.2,60.6,34.3,31.3,5.84,1.7,17.4,3.79,16.28,4.82,20.86,0.07,123,27,115,34,0,,0,REST,18.5,66,643,755,3457,144.1,2.4,2,42.9,0,0,3457,0,0.0,100.0,1.1,0,2.25,3.43,5.68,0.4,0.22,1.228,6,0,0,,14,91.5,0,0.71,36.21,,,
71.0,11.03,1.43,15.772,1470,435.952225,471.4387111,1.08,249.3,53.1,34.4,31.8,5.42,1.5,17.43,3.71,16.48,4.74,20.86,0.07,123,26,117,34,0,,0,REST,18.5,66,643,755,3195,133.1,2.22,3,39.7,0,0,3195,0,0.0,100.0,1.08,0,2.26,3.18,5.44,0.42,0.21,1.198,5,0,0,,13,92.1,0,0.63,35.7,,,
75.0,19.67,0.653,12.846,576,281.7103277,291.7593408,1.04,118.5,18.6,40.7,39.3,3.5,1.0,18.15,2.85,16.57,4.45,20.84,0.08,128,20,117,32,0,,0,REST,18.5,66,643,755,2044,85.2,1.42,3,25.4,0,0,2044,0,0.0,100.0,1.04,0,1.1,1.95,3.05,0.36,0.3,1.109,4,0,0,,8,93.6,0,0.59,33.85,,,
80.0,11.07,1.459,16.151,1350,500.663027,510.2111636,1.02,249.0,57.2,30.7,30.1,6.22,1.8,17.07,3.92,15.81,5.1,20.86,0.07,121,28,112,36,0,,0,REST,18.5,66,643,755,3620,150.8,2.51,3,45.0,0,0,3620,0,0.0,100.0,1.02,0,2.18,3.24,5.42,0.4,0.22,1.208,5,0,0,,14,91.9,0,0.67,37.99,,,
86.0,10.47,1.936,20.272,1890,630.4664351,657.5752711,1.04,329.8,77.9,31.0,29.7,7.83,2.2,17.04,4.02,16.1,4.93,20.86,0.07,121,28,114,35,0,,0,REST,18.5,66,643,755,4582,190.9,3.18,3,56.9,0,0,4582,0,0.0,100.0,1.04,0,2.45,3.28,5.73,0.43,0.19,1.307,6,0,0,,18,89.8,0,0.79,36.91,,,
89.0,18.4,0.986,18.147,864,498.9842616,501.4435161,1.0,172.5,33.9,33.8,33.6,6.2,1.8,17.49,3.44,16.18,4.77,20.85,0.07,124,24,115,34,0,,0,REST,18.5,66,643,755,3597,149.9,2.5,3,44.7,0,0,3597,0,0.0,100.0,1.0,0,1.68,1.58,3.26,0.52,0.25,1.259,3,0,0,,14,90.9,0,0.59,35.89,,,
93.0,14.05,1.823,25.616,1554,798.7019145,831.4481472,1.04,310.4,73.4,30.8,29.6,9.92,2.8,17.03,4.03,15.86,5.06,20.86,0.07,121,29,112,36,0,,0,REST,18.5,66,643,755,5803,241.8,4.03,3,72.1,0,0,5803,0,0.0,100.0,1.04,0,1.67,2.6,4.27,0.39,0.21,1.409,4,0,0,,23,87.2,0,1.09,37.74,,,
99.0,9.8,1.703,16.696,1544,489.8701063,526.1039842,1.07,293.4,66.6,32.7,30.4,6.09,1.7,17.23,3.91,16.09,4.97,20.86,0.07,122,28,114,35,0,,0,REST,18.5,66,643,755,3584,149.4,2.49,4,44.5,0,0,3584,0,0.0,100.0,1.07,0,2.14,3.98,6.12,0.35,0.21,1.223,6,0,0,,14,91.6,0,0.8,37.17,,,
106.0,8.75,1.605,14.038,1472,427.828145,451.1820865,1.05,274.5,64.0,31.4,29.8,5.31,1.5,17.1,3.99,15.81,5.11,20.86,0.07,121,28,112,36,0,,0,REST,18.5,66,643,755,3117,129.9,2.16,4,38.7,0,0,3117,0,0.0,100.0,1.05,0,2.35,4.51,6.86,0.34,0.21,1.147,7,0,0,,12,93.0,0,0.68,38.06,,,
115.0,6.71,4.649,31.201,3759,763.1814186,896.7180663,1.17,827.5,166.1,40.3,34.3,9.48,2.7,17.8,3.57,16.81,4.6,20.89,0.07,126,25,119,33,0,,0,REST,18.5,66,643,755,5706,237.8,3.96,5,70.9,0,0,5706,0,0.0,100.0,1.17,0,3.62,5.32,8.94,0.4,0.26,1.494,9,0,0,,22,84.4,0,1.28,34.8,,,
119.0,13.25,1.693,22.424,2023,467.5890751,601.1506858,1.29,307.9,56.5,46.0,35.8,5.81,1.7,18.19,3.34,17.28,4.39,20.88,0.07,129,24,122,31,0,,0,REST,18.5,66,643,755,3578,149.1,2.48,5,44.4,0,0,3578,0,0.0,100.0,1.29,0,2.23,2.3,4.53,0.49,0.25,1.351,4,0,0,,13,88.8,0,0.76,33.47,,,
123.0,17.91,0.427,7.648,682,111.7112134,136.6837615,1.22,81.2,9.6,57.2,46.8,1.39,0.4,19.02,2.25,17.92,3.51,20.88,0.07,135,16,127,25,30,0.37,43,WARMUP,18.5,66,643,755,844,35.2,0.59,5,10.5,0,0,844,0,0.0,100.0,1.22,0,1.64,1.71,3.35,0.49,0.26,0.884,4,0,0,,3,96.2,30,0.26,27.86,,,
128.0,12.02,2.108,25.347,1694,686.1130233,822.0415894,1.2,367.3,84.8,35.7,29.8,8.52,2.4,17.42,4.02,16.17,5.27,20.86,0.07,123,28,114,37,30,0.37,85,WARMUP,18.5,66,643,755,5155,214.8,3.58,5,64.0,0,0,5155,0,0.0,100.0,1.2,0,1.75,3.24,4.99,0.35,0.24,1.404,5,0,0,,20,87.3,30,1.2,39.08,,,
132.0,14.46,2.083,30.116,1927,910.2919234,1003.8305684,1.1,355.5,86.5,32.0,29.0,11.31,3.2,17.07,4.15,16.0,5.19,20.83,0.09,121,29,113,37,30,0.37,89,WARMUP,18.5,66,643,755,6702,279.3,4.65,5,83.3,0,0,6702,0,0.0,100.0,1.1,0,1.81,2.34,4.15,0.44,0.2,1.479,4,0,0,,26,84.9,30,1.15,38.57,,,
136.0,14.05,2.214,31.11,1559,1080.513955,1085.3419595,1.0,367.8,95.7,27.9,27.8,13.42,3.8,16.61,4.32,15.52,5.31,20.85,0.07,118,31,110,38,30,0.37,92,WARMUP,18.5,66,643,755,7787,324.5,5.41,6,96.7,0,0,7787,0,0.0,100.0,1.0,0,2.03,2.24,4.27,0.48,0.19,1.493,4,0,0,,31,84.4,30,1.09,39.33,,,
141.0,13.04,2.17,28.304,2153,956.5796628,928.416957,0.97,363.6,88.5,28.6,29.5,11.88,3.4,16.76,4.08,15.41,5.25,20.85,0.08,119,29,109,37,30,0.37,88,WARMUP,18.5,66,643,755,6843,285.1,4.75,6,85.0,0,688,6155,0,10.0,90.0,0.97,0,1.6,3.0,4.6,0.35,0.23,1.452,5,0,0,,28,85.8,30,1.36,38.95,,,
145.0,14.46,2.428,35.104,1736,1373.6699878,1253.115467,0.91,392.3,107.6,24.8,27.2,17.06,4.9,16.16,4.43,14.9,5.43,20.84,0.08,114,31,105,38,30,0.37,86,WARMUP,18.5,66,643,755,9699,404.1,6.74,6,120.5,0,2905,6794,0,30.0,70.0,0.91,0,1.54,2.61,4.15,0.37,0.19,1.545,4,0,0,,40,82.4,30,1.58,40.09,,,
150.0,11.36,2.138,24.295,2302,955.2862462,843.6505924,0.88,345.8,92.0,24.6,27.9,11.87,3.4,16.17,4.3,14.72,5.39,20.85,0.07,115,30,104,38,30,0.37,86,WARMUP,18.5,66,643,755,6701,279.2,4.65,7,83.2,0,2673,4028,0,39.9,60.1,0.88,0,2.45,2.83,5.28,0.46,0.2,1.386,5,0,0,,27,87.8,30,0.87,39.84,,,
156.0,10.26,4.457,45.713,3815,1596.4528595,1475.6094259,0.92,742.1,178.5,28.2,30.5,19.83,5.7,16.65,4.0,15.39,5.02,20.84,0.07,118,28,109,36,30,0.37,87,WARMUP,18.5,66,643,755,11303,471.0,7.85,8,140.4,0,2920,8383,0,25.8,74.2,0.92,0,2.39,3.46,5.85,0.41,0.23,1.66,6,0,0,,46,77.1,30,1.86,37.48,,,
160.0,16.44,1.214,19.956,1725,717.3247054,593.3665618,0.83,201.6,45.1,26.2,31.7,8.91,2.5,16.61,3.71,14.99,5.14,20.83,0.09,118,26,106,36,30,0.37,86,WARMUP,18.5,66,643,755,4968,207.0,3.45,8,61.7,0,2930,2038,0,59.0,41.0,0.83,0,2.12,1.53,3.65,0.58,0.25,1.3,4,0,0,,21,90.0,30,0.57,38.25,,,
163.0,18.4,1.128,20.761,1115,832.0039732,655.1280409,0.79,182.3,44.3,23.4,29.7,10.34,3.0,16.16,3.93,14.25,5.41,20.83,0.08,114,28,101,38,30,0.37,87,WARMUP,18.5,66,643,755,5710,237.9,3.97,8,70.9,0,4143,1567,0,72.6,27.4,0.79,0,1.37,1.89,3.26,0.42,0.24,1.317,3,0,0,,24,89.6,30,0.82,39.97,,,
167.0,13.99,1.315,18.392,1548,778.1508766,592.4602328,0.76,209.6,52.7,22.4,29.4,9.67,2.8,15.94,4.01,13.98,5.51,20.84,0.08,113,28,99,39,30,0.37,86,WARMUP,18.5,66,643,755,5309,221.2,3.69,8,65.9,0,4323,985,0,81.4,18.6,0.76,0,1.44,2.85,4.29,0.34,0.25,1.265,4,0,0,,22,90.8,30,0.91,40.61,,,
171.0,17.44,1.441,25.134,1302,1266.8810831,897.5627948,0.71,217.0,63.9,18.9,26.6,15.74,4.5,15.06,4.43,13.33,5.68,20.83,0.08,107,31,94,40,30,0.37,86,WARMUP,18.5,66,643,755,8537,355.7,5.93,9,106.0,0,8493,43,0,99.5,0.5,0.71,0,1.42,2.02,3.44,0.41,0.2,1.4,4,0,0,,36,87.4,30,1.01,41.69,,,
173.0,24.0,0.918,22.032,1581,852.8373357,607.5280273,0.71,150.5,31.6,23.9,33.5,10.59,3.0,16.39,3.44,14.41,4.98,20.83,0.08,116,24,102,35,30,0.37,87,WARMUP,18.5,66,643,755,5752,239.7,3.99,9,71.5,0,5647,105,0,98.2,1.8,0.71,0,1.41,1.09,2.5,0.56,0.27,1.343,2,0,0,,25,89.0,30,0.65,37.23,,,
176.0,18.13,1.962,35.565,1578,1697.4167278,1250.7565137,0.74,300.6,85.7,20.2,27.4,21.09,6.0,15.32,4.37,13.7,5.52,20.82,0.08,108,31,97,39,30,0.37,86,WARMUP,18.5,66,643,755,11514,479.7,8.0,9,143.0,0,10341,1173,0,89.8,10.2,0.74,0,0.99,2.32,3.31,0.3,0.2,1.551,3,0,0,,49,82.2,30,1.98,40.67,,,
180.0,16.3,2.038,33.228,1720,1556.9435932,1160.3069548,0.75,314.5,88.4,20.6,27.7,19.34,5.5,15.43,4.34,13.89,5.44,20.84,0.08,109,31,98,39,30,0.37,87,WARMUP,18.5,66,643,755,10582,440.9,7.35,10,131.4,0,9200,1381,0,86.9,13.1,0.75,0,1.53,2.15,3.68,0.42,0.2,1.522,4,0,0,,45,83.3,30,1.33,40.16,,,
185.0,13.73,2.396,32.897,2666,1449.7640022,1164.2740476,0.8,375.9,105.3,22.0,27.4,18.01,5.1,15.69,4.39,14.39,5.38,20.84,0.08,111,31,102,38,30,0.37,88,WARMUP,18.5,66,643,755,9986,416.1,6.93,10,124.1,0,6712,3275,0,67.2,32.8,0.8,0,1.49,2.88,4.37,0.34,0.19,1.517,5,0,0,,42,83.5,30,1.61,39.78,,,
189.0,13.57,2.424,32.905,2310,1435.9438898,1166.9549048,0.81,381.5,106.5,22.3,27.4,17.84,5.1,15.74,4.39,14.37,5.43,20.85,0.07,111,31,102,38,30,0.37,85,WARMUP,18.5,66,643,755,9913,413.0,6.88,11,123.1,0,6338,3575,0,63.9,36.1,0.81,0,1.96,2.46,4.42,0.44,0.2,1.517,4,0,0,,41,83.5,30,1.24,40.09,,,
192.0,18.13,1.881,34.097,1475,1540.175465,1186.361482,0.77,293.2,81.3,21.3,27.7,19.13,5.5,15.59,4.32,13.97,5.58,20.83,0.08,110,31,99,40,30,0.37,86,WARMUP,18.5,66,643,755,10529,438.7,7.31,11,130.8,0,8255,2274,0,78.4,21.6,0.77,0,1.51,1.8,3.31,0.46,0.22,1.533,3,0,0,,44,82.9,30,1.25,41.05,,,
197.0,13.51,2.14,28.919,2301,1270.6261645,997.4206197,0.78,336.5,91.7,22.0,28.0,15.78,4.5,15.72,4.29,14.15,5.49,20.84,0.08,111,30,100,39,30,0.37,86,WARMUP,18.5,66,643,755,8716,363.2,6.05,12,108.3,0,6396,2320,0,73.4,26.6,0.78,0,2.02,2.42,4.44,0.45,0.22,1.461,5,0,0,,37,85.5,30,1.06,40.48,,,
200.0,19.8,1.708,33.822,1403,1506.7122285,1162.2531696,0.77,267.1,73.1,21.5,27.9,18.72,5.3,15.64,4.28,14.05,5.51,20.81,0.09,111,30,99,39,30,0.37,88,WARMUP,18.5,66,643,755,10303,429.3,7.15,12,128.0,0,8039,2264,0,78.0,22.0,0.77,0,1.15,1.88,3.03,0.38,0.21,1.529,3,0,0,,43,83.0,30,1.49,40.61,,,
