t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e
10.0,8.33,2.569,21.408,2530,615.6081018,711.1997339,1.16,443.2,103.8,33.8,29.3,7.25,2.1,17.25,4.04,16.36,4.94,20.8,0.07,125,29,118,36,0,,0,REST,20.3,53,658,769,4584,191.0,3.18,0,54.0,0,0,4584,0,0.0,100.0,1.16,0,3.25,3.95,7.2,0.45,0.2,1.331,0,0,0,,19,88.2,0,0.79,37.59
20.0,10.01,2.304,23.054,2295,591.5375345,732.8201418,1.24,406.0,89.35,37.8,30.5,6.96,2.0,17.63,3.88,16.69,4.89,20.84,0.08,127,28,121,35,0,,0,REST,20.3,53,658,769,4483,186.8,3.11,0,52.8,0,0,4483,0,0.0,100.0,1.24,0,2.44,3.56,6.0,0.41,0.22,1.363,10,0,0,,18,87.3,0,0.94,37.27
30.0,11.24,2.571,28.888,2544,633.3025546,864.4643394,1.37,463.3,94.0,44.4,32.5,7.46,2.1,18.02,3.66,17.28,4.52,20.84,0.08,130,26,125,33,0,,0,REST,20.3,53,658,769,4926,205.2,3.42,1,58.0,0,0,4926,0,0.0,100.0,1.37,0,1.87,3.47,5.34,0.35,0.22,1.461,10,0,0,,20,84.1,0,1.37,34.87
40.0,8.68,2.207,19.154,2128,471.6476549,595.6624928,1.26,391.4,83.7,39.3,31.1,5.55,1.6,17.73,3.79,16.92,4.64,20.84,0.08,128,27,122,34,0,,0,REST,20.3,53,658,769,3592,149.7,2.49,1,42.3,0,0,3592,0,0.0,100.0,1.26,0,2.78,4.14,6.92,0.4,0.2,1.282,10,0,0,,15,89.4,0,0.8,35.68
50.0,12.92,2.468,31.879,2338,594.4657724,845.0745404,1.42,454.0,80.4,52.1,36.7,7.0,2.0,18.4,3.26,17.43,4.3,20.82,0.09,133,24,126,31,0,,0,REST,20.3,54,658,769,4677,194.9,3.25,2,55.1,0,0,4677,0,0.0,100.0,1.42,0,1.62,3.03,4.64,0.35,0.27,1.504,10,0,0,,18,82.4,0,1.53,33.4
70.0,3.92,1.341,5.259,1440,140.5949527,159.1125308,1.13,234.5,50.1,35.5,31.3,1.66,0.5,17.49,3.74,15.04,5.66,20.77,0.12,126,27,109,41,0,,0,REST,20.3,54,658,769,1042,43.4,0.72,2,12.3,0,0,1042,0,0.0,100.0,1.13,0,1.12,14.18,15.3,0.07,0.31,0.721,20,0,0,,4,97.1,0,1.2,42.28
80.0,11.34,1.498,16.98,1497,569.9211236,555.5509287,0.97,252.0,59.9333333,28.4,29.1,6.71,1.9,16.82,4.0,15.82,4.93,20.81,0.09,121,29,114,36,0,,0,REST,20.3,54,658,769,4081,170.0,2.83,3,48.0,0,351,3730,0,8.6,91.4,0.97,0,1.98,3.32,5.29,0.37,0.18,1.23,10,0,0,,18,90.6,0,0.76,37.55
90.0,9.82,3.705,36.383,3649,913.8893253,1053.6361077,1.15,656.6,131.2,39.1,33.9,10.76,3.1,17.72,3.54,16.96,4.36,20.82,0.08,128,26,122,31,0,,0,REST,20.3,54,658,769,6801,283.4,4.72,3,80.1,0,0,6801,0,0.0,100.0,1.15,0,2.09,4.02,6.11,0.34,0.23,1.561,10,0,0,,28,79.9,0,1.77,33.82
100.0,11.18,1.713,19.158,1663,465.6700807,565.9480368,1.22,304.9,61.85,39.5,32.5,5.48,1.6,17.8,3.61,16.91,4.58,20.84,0.08,129,26,122,33,0,,0,REST,20.3,54,658,769,3512,146.3,2.44,4,41.3,0,0,3512,0,0.0,100.0,1.22,0,2.06,3.3,5.36,0.38,0.22,1.282,10,0,0,,14,89.4,0,0.83,35.29
110.0,12.82,2.947,37.782,2895,800.1847659,1055.0054049,1.32,534.6,100.7,46.1,35.0,9.42,2.7,18.14,3.42,17.46,4.21,20.84,0.08,131,25,126,30,0,,0,REST,20.3,54,658,769,6165,256.9,4.28,5,72.6,0,0,6165,0,0.0,100.0,1.32,0,1.29,3.39,4.68,0.28,0.23,1.577,10,0,0,,25,79.1,0,2.28,32.85
130.0,10.77,1.351,14.549,1434,439.4191104,434.8500082,0.99,232.6,49.3333333,31.4,31.7,5.17,1.5,17.22,3.65,16.24,4.58,20.82,0.08,124,26,117,33,30,0.35,83,WARMUP,20.2,53,658,769,3157,131.5,2.19,6,37.2,0,112,3045,0,3.5,96.5,0.99,0,2.64,2.93,5.57,0.47,0.2,1.163,20,0,0,,14,92.0,30,0.51,35.26
140.0,13.9,1.49,20.718,1406,807.8871404,729.4286951,0.9,242.1,64.05,24.4,27.1,9.51,2.7,16.25,4.3,14.66,5.65,20.82,0.09,117,31,106,41,30,0.35,76,WARMUP,20.2,53,658,769,5693,237.2,3.95,6,67.0,0,1887,3806,0,33.1,66.9,0.9,0,1.31,3.01,4.31,0.3,0.22,1.316,10,0,0,,25,88.6,30,1.14,42.21
150.0,16.6,1.178,19.552,1090,781.2324302,667.0923985,0.85,190.65,49.05,23.5,27.6,9.2,2.6,16.18,4.16,14.72,5.44,20.82,0.08,117,30,106,39,30,0.35,77,WARMUP,20.2,53,658,769,5444,226.8,3.78,7,64.1,0,2715,2729,0,49.9,50.1,0.85,0,1.34,2.27,3.62,0.37,0.2,1.291,10,0,0,,24,89.2,30,0.88,40.85
160.0,10.56,2.753,29.081,2782,1110.7728429,1000.2909043,0.9,449.95,115.4,25.5,28.3,13.08,3.7,16.34,4.19,14.46,5.54,20.82,0.08,118,30,104,40,30,0.35,79,WARMUP,20.2,53,658,769,7823,325.9,5.43,8,92.1,0,2656,5167,0,33.9,66.1,0.9,0,1.66,4.02,5.68,0.29,0.25,1.464,10,0,0,,34,83.9,30,1.66,41.49
170.0,12.64,1.686,21.312,1670,725.9638555,697.155545,0.96,282.1,67.5,28.1,29.3,8.55,2.4,16.73,4.0,14.51,5.59,20.77,0.09,121,29,105,40,30,0.35,79,WARMUP,20.2,53,658,769,5181,215.9,3.6,8,61.0,0,702,4480,0,13.5,86.5,0.96,0,1.34,3.4,4.75,0.28,0.27,1.329,10,0,0,,22,88.2,30,1.26,41.82
180.0,14.44,2.173,31.379,2180,1479.6812046,1181.4284974,0.8,334.2,99.55,20.5,25.7,17.42,5.0,15.38,4.58,14.04,5.61,20.78,0.08,111,33,101,41,30,0.35,77,WARMUP,20.2,53,658,769,10181,424.2,7.07,9,119.9,0,7004,3177,0,68.8,31.2,0.8,0,1.83,2.33,4.16,0.44,0.18,1.497,10,0,0,,46,82.7,30,1.19,41.95
190.0,19.25,1.47,28.299,1458,1201.4412432,996.4198416,0.83,233.3666667,63.3,22.4,27.0,14.14,4.0,15.88,4.31,14.47,5.49,20.77,0.1,115,31,104,40,30,0.35,78,WARMUP,20.2,53,658,769,8326,346.9,5.78,10,98.0,0,4849,3477,0,58.2,41.8,0.83,0,1.29,1.83,3.12,0.41,0.2,1.452,10,0,0,,37,84.4,30,1.14,41.15
200.0,18.89,1.55,29.27,1512,1250.442691,1039.4163578,0.83,245.7666667,67.1333333,22.4,26.9,14.72,4.2,15.86,4.33,14.43,5.52,20.79,0.09,115,31,104,40,30,0.35,77,WARMUP,20.2,53,658,769,8669,361.2,6.02,11,102.0,0,4993,3676,0,57.6,42.4,0.83,0,1.23,1.94,3.18,0.39,0.2,1.466,10,0,0,,39,83.8,30,1.26,41.39
210.0,17.56,1.606,28.203,1642,1259.1175015,1031.3485089,0.82,251.3,71.7666667,21.4,26.2,14.82,4.2,15.65,4.47,14.23,5.64,20.78,0.1,113,32,103,41,30,0.35,76,WARMUP,20.2,53,658,769,8705,362.7,6.05,12,102.5,0,5374,3331,0,61.7,38.3,0.82,0,1.37,2.04,3.42,0.4,0.19,1.45,10,0,0,,39,84.4,30,1.17,42.12
220.0,15.76,2.224,35.049,2126,1211.9145966,1132.5345115,0.93,372.1666667,87.9666667,28.0,30.0,14.27,4.1,16.74,3.96,14.82,5.5,20.81,0.09,121,29,107,40,30,0.35,80,WARMUP,20.2,53,658,769,8600,358.3,5.97,13,101.2,0,1923,6678,0,22.4,77.6,0.93,0,1.19,2.62,3.81,0.31,0.28,1.545,10,0,0,,37,80.7,30,1.87,41.26
230.0,16.71,1.779,29.733,1835,1264.1309278,1095.760159,0.87,282.3666667,79.8,22.6,26.1,14.88,4.3,15.87,4.49,14.51,5.66,20.81,0.08,115,32,105,41,30,0.35,81,WARMUP,20.2,53,658,769,8835,368.1,6.14,14,104.0,0,4016,4819,0,45.5,54.5,0.87,0,1.5,2.09,3.59,0.42,0.19,1.473,10,0,0,,39,83.6,30,1.18,42.27
240.0,19.44,1.417,27.551,1429,1174.1649216,997.6684594,0.85,224.4333333,62.6333333,22.3,26.3,13.82,3.9,15.83,4.42,14.36,5.69,20.77,0.09,114,32,104,41,30,0.35,79,WARMUP,20.2,53,658,769,8174,340.6,5.68,15,96.2,0,4194,3981,0,51.3,48.7,0.85,0,1.25,1.84,3.09,0.4,0.2,1.44,10,0,0,,36,84.8,30,1.14,42.45
250.0,18.07,1.472,26.602,1445,1115.7324333,964.0952058,0.86,234.5666667,65.0,22.7,26.3,13.13,3.8,15.94,4.42,14.48,5.63,20.81,0.08,115,32,105,41,30,0.35,78,WARMUP,20.2,53,658,769,7793,324.7,5.41,16,91.7,0,3615,4178,0,46.4,53.6,0.86,0,1.38,1.94,3.32,0.42,0.2,1.425,10,0,0,,34,85.3,30,1.07,42.1
260.0,12.97,3.797,49.258,3668,1634.0728473,1665.7192102,1.02,638.8,156.7,29.6,29.0,19.24,5.5,16.82,4.13,15.74,5.18,20.8,0.08,121,30,114,37,30,0.35,78,WARMUP,20.2,53,658,769,11815,492.3,8.21,17,139.1,0,0,11815,0,0.0,100.0,1.02,0,1.34,3.29,4.62,0.29,0.22,1.692,10,0,0,,50,72.8,30,2.84,39.15
270.0,19.91,1.174,23.369,1095,843.3409746,797.2111274,0.95,194.0333333,49.7,26.1,27.6,9.93,2.8,16.53,4.23,15.15,5.49,20.8,0.16,119,31,109,40,30,0.35,79,WARMUP,20.2,53,658,769,5999,250.0,4.17,18,70.6,0,1120,4879,0,18.7,81.3,0.95,0,0.96,2.05,3.01,0.32,0.2,1.369,10,0,0,,26,87.1,30,1.22,41.17
